"","X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_full_date","time_wheelon_real","time_gatein","arr_taxi","mission_month","mission_date","arr_window_per15","arr_window_per60","arr_01_in_cluster","dep_01_per_arr","arr_01_per_arr"
"1",1,"CDG4653","ZSQD","ZBAA","1","314",1008,1008,1015,20140228,608,615,"7",2,28,2633,659,0,9,11
"2",2,"EPA6224","ZSHC","ZBAA","1","N213",1012,1012,1020,20140228,612,620,"8",2,28,2633,659,0,9,11
"3",3,"CCA1951","ZSWZ","ZBAA","1","302",1014,1013,1021,20140228,613,621,"8",2,28,2633,659,0,9,11
"4",4,"CCA1802","ZSAM","ZBAA","1","412",1020,1019,1025,20140228,619,625,"6",2,28,2634,659,0,9,13
"6",6,"KAL2851","RKSS","ZBAA","1","217",1016,1016,1028,20140228,616,628,"12",2,28,2634,659,0,9,13
"8",8,"CCA1286","ZYCY","ZBAA","1","327",1024,1024,1032,20140228,624,632,"8",2,28,2634,659,0,9,13
"15",15,"KOR151","ZKPY","ZBAA","1","707",1003,1002,1014,20140228,602,614,"12",2,28,2633,659,0,9,11
"18",18,"CCA1110","ZBXH","ZBAA","1","319",1006,1005,1012,20140228,605,612,"7",2,28,2633,659,0,9,11
"19",19,"CCA1662","ZYCC","ZBAA","1","309",1010,1010,1017,20140228,610,617,"7",2,28,2633,659,0,9,11
"21",21,"CSN6213","ZYDQ","ZBAA","1","234",951,952,959,20140228,592,599,"7",2,28,2632,658,1,6,12
"22",22,"CCA1858","ZSSS","ZBAA","1","463",956,956,959,20140228,596,599,"3",2,28,2632,658,1,6,12
"25",25,"CSN6201","ZYHB","ZBAA","1","229",953,953,1003,20140228,593,603,"10",2,28,2632,658,1,6,12
"26",26,"CCA1802","ZSAM","ZBAA","1","414",1023,1024,1028,20140226,624,628,"4",2,26,2442,611,1,13,11
"30",30,"CCA1820","ZSNJ","ZBAA","1","412",1026,1025,1032,20140226,625,632,"7",2,26,2442,611,1,13,11
"31",31,"CCA1854","ZSNB","ZBAA","1","311",1031,1030,1035,20140226,630,635,"5",2,26,2443,611,1,9,14
"32",32,"KAL2851","RKSS","ZBAA","1","214",1019,1019,1035,20140226,619,635,"16",2,26,2442,611,1,13,11
"33",33,"N415P","ZSPD","ZBAA","1","627",1001,1000,1021,20140226,600,621,"21",2,26,2441,611,1,13,10
