"","X.1","X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_date","time_wheelon_real","time_gatein","arr_taxi","X.2","arr_window","arr_date","arr_hour","arr_36l_in_cluster"
"5",5,5,"CQN2301","ZUCK","ZBAA","36L","239",1009,1010,1017,20140228,610,617,"7",5,35,2,11,0
"7",7,7,"CES5101","ZSSS","ZBAA","36L","221",1016,1016,1028,20140228,616,628,"12",7,35,2,11,0
"10",10,10,"CSC8881","ZUUU","ZBAA","36L","337",947,947,1007,20140228,587,607,"20",10,34,2,10,0
"11",11,11,"ETD888","OMAA","ZBAA","36L","508",951,952,1010,20140228,592,610,"18",11,34,2,10,0
"12",12,12,"AFL204","UUEE","ZBAA","36L","212",954,954,1011,20140228,594,611,"17",12,34,2,10,0
"14",14,14,"CES5169","ZSOF","ZBAA","36L","220",957,957,1011,20140228,597,611,"14",14,34,2,10,0
"17",17,17,"CHH7616","ZSDY","ZBAA","36L","108",1001,1001,1005,20140228,601,605,"4",17,35,2,11,0
"20",20,20,"KLM897","EHAM","ZBAA","36L","210",946,946,956,20140228,586,596,"10",20,34,2,10,0
"24",24,24,"CES2411","ZLLL","ZBAA","36L","806",959,959,1005,20140228,599,605,"6",24,34,2,10,1
"27",27,27,"CSN6700","ZBCZ","ZBAA","36L","236",1025,1024,1029,20140226,624,629,"5",27,35,2,11,1
"28",28,28,"MGL223","ZMUB","ZBAA","36L","519",1012,1011,1028,20140226,611,628,"17",28,35,2,11,1
"29",29,29,"CHH7604","ZSSS","ZBAA","36L","114",1031,1030,1035,20140226,630,635,"5",29,35,2,11,1
"38",38,38,"CCA1342","ZHHH","ZBAA","36L","326",1010,1009,1027,20140226,609,627,"18",38,35,2,11,0
"39",39,39,"CQN2301","ZUCK","ZBAA","36L","802",1020,1019,1024,20140226,619,624,"5",39,35,2,11,1
"40",40,40,"CES5177","ZSNB","ZBAA","36L","805",1000,959,1006,20140226,599,606,"7",40,34,2,10,0
"41",41,41,"CHH7986","UUEE","ZBAA","36L","W207",1006,1006,1011,20140226,606,611,"5",41,35,2,11,0
"45",45,45,"CSN3117","ZHHH","ZBAA","36L","219",953,952,1005,20140226,592,605,"13",45,34,2,10,0
"46",46,46,"AFL204","UUEE","ZBAA","36L","217",1003,1003,1015,20140226,603,615,"12",46,35,2,11,0
"47",47,47,"CSC8881","ZUUU","ZBAA","36L","337",940,939,956,20140226,579,596,"17",47,34,2,10,0
