"","X.2","X.1","X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_full_date","time_wheelon_real","time_gatein","arr_taxi","mission_month","mission_date","arr_window_per15","arr_window_per60","arr_36r_in_cluster","dep_36r_per_arr","arr_36r_per_arr"
"9",9,9,9,"CSN3123","ZGHA","ZBAA","36R","224",1001,959,1003,20140228,599,603,"4",2,28,2632,658,1,22,12
"13",13,13,13,"CCA1892","ZJSY","ZBAA","36R","301",1004,1004,1011,20140228,604,611,"7",2,28,2633,659,1,22,12
"16",16,16,16,"CCA1342","ZHHH","ZBAA","36R","409",1007,1007,1011,20140228,607,611,"4",2,28,2633,659,1,22,12
"23",23,23,23,"CCA1701","ZSHC","ZBAA","36R","305",950,949,959,20140228,589,599,"10",2,28,2632,658,1,22,12
"35",35,35,35,"CDG4653","ZSQD","ZBAA","36R","317",1013,1012,1020,20140226,612,620,"8",2,26,2441,611,1,22,12
"36",36,36,36,"CCA138","RKSS","ZBAA","36R","504",1016,1015,1020,20140226,615,620,"5",2,26,2442,611,1,22,12
"118",118,118,118,"DLH720","EDDF","ZBAA","36R","507",918,918,924,20140225,558,564,"6",2,25,2342,586,1,22,12
"153",153,153,153,"DLH720","EDDF","ZBAA","36R","508",931,931,942,20140224,571,582,"11",2,24,2247,562,1,22,12
"183",183,183,183,"CES2911","ZSWX","ZBAA","36R","239",943,943,951,20140223,583,591,"8",2,23,2151,538,1,22,12
"185",185,185,185,"CES5131","ZSHC","ZBAA","36R","227",953,953,954,20140223,593,594,"1",2,23,2152,538,1,22,12
"196",196,196,196,"CCA4193","ZUUU","ZBAA","36R","324",939,938,944,20140223,578,584,"6",2,23,2151,538,1,22,12
"202",202,202,202,"AAR3315","RKSS","ZBAA","36R","523",932,931,933,20140223,571,573,"2",2,23,2151,538,1,22,12
"223",223,223,223,"CES5111","ZSSS","ZBAA","36R","808",1504,1502,1507,20140214,902,907,"5",2,14,1309,328,1,22,12
"229",229,229,229,"GDC7130","ZYHB","ZBAA","36R","115",1453,1448,1456,20140214,888,896,"8",2,14,1308,327,1,22,12
"238",238,238,238,"CCA8216","ZHHH","ZBAA","36R","332",1439,1438,1446,20140214,878,886,"8",2,14,1307,327,1,22,12
"242",242,242,242,"CHH7606","ZSSS","ZBAA","36R","A113",1430,1429,1435,20140214,869,875,"6",2,14,1306,327,1,22,12
