"X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_full_date","time_wheelon_real","time_gatein","arr_taxi","mission_month","mission_date","dep_apr_15_per_arr","arr_apr_15_per_arr","dep_apr_60_per_arr","arr_apr_60_per_arr","pb_apr_15_per_arr","pb_apr_60_per_arr"
45795,"CSN3141","ZGHA","ZBAA","18R","219",1657,1656,1703,20140413,1016,1023,7,4,13,8,12,46,46,13,28
45796,"CSN6268","ZYHB","ZBAA","18L","707",1659,1658,1702,20140413,1018,1022,4,4,13,8,12,46,46,13,28
45797,"CCA1812","ZSWZ","ZBAA","18L","309",1657,1657,1704,20140413,1017,1024,7,4,13,8,12,46,46,13,28
45798,"CCA170","RJCC","ZBAA","19","452",1701,1700,1705,20140413,1020,1025,5,4,13,11,12,42,45,10,28
45799,"CSN3109","ZGGG","ZBAA","18R","226",1700,1659,1707,20140413,1019,1027,8,4,13,8,12,46,46,13,28
45800,"CSN6991","ZLXN","ZBAA","18R","806",1706,1704,1708,20140413,1024,1028,4,4,13,11,12,42,45,10,28
45801,"CCA1322","ZGGG","ZBAA","18R","302",1649,1648,1710,20140413,1008,1030,22,4,13,8,12,46,46,13,28
45802,"CCA4103","ZUUU","ZBAA","18R","331",1644,1643,1703,20140413,1003,1023,20,4,13,13,10,46,46,13,28
45803,"CCA182","RJTT","ZBAA","19","518",1639,1639,1647,20140413,999,1007,8,4,13,13,10,46,46,13,28
45804,"CSN3902","ZPPP","ZBAA","18R","230",1652,1651,1655,20140413,1011,1015,4,4,13,8,12,46,46,13,28
45805,"CHH7246","ZWWW","ZBAA","18R","103",1647,1646,1653,20140413,1006,1013,7,4,13,8,12,46,46,13,28
45806,"ETH604","HAAB","ZBAA","19","525",1645,1645,1653,20140413,1005,1013,8,4,13,8,12,46,46,13,28
45807,"CCA4141","ZUCK","ZBAA","19","329",1648,1647,1652,20140413,1007,1012,5,4,13,8,12,46,46,13,28
45808,"CES5147","ZSSS","ZBAA","19","237",1643,1641,1658,20140413,1001,1018,17,4,13,13,10,46,46,13,28
45809,"CCA1362","ZJHK","ZBAA","19","325",1653,1653,1658,20140413,1013,1018,5,4,13,8,12,46,46,13,28
45810,"CCA1650","ZYCC","ZBAA","19","318",1633,1633,1638,20140413,993,998,5,4,13,13,10,46,46,13,28
45811,"CES5295","ZBYN","ZBAA","18R","235",1636,1636,1638,20140413,996,998,2,4,13,13,10,46,46,13,28
45812,"CSN6133","ZYTL","ZBAA","19","234",1629,1629,1642,20140413,989,1002,13,4,13,13,13,46,46,12,28
45813,"CSN6932","ZWWW","ZBAA","18R","206",1635,1634,1640,20140413,994,1000,6,4,13,13,10,46,46,13,28
45814,"CSN3174","ZHCC","ZBAA","18R","805",1639,1638,1641,20140413,998,1001,3,4,13,13,10,46,46,13,28
45815,"CES2831","ZSNJ","ZBAA","18R","239",1641,1640,1645,20140413,1000,1005,5,4,13,13,10,46,46,13,28
45816,"CSC8831","ZUCK","ZBAA","36R","330",1629,1628,1638,20140411,988,998,10,4,11,13,14,51,46,14,28
45817,"CSN6932","ZWWW","ZBAA","36L","209",1634,1634,1641,20140411,994,1001,7,4,11,15,8,51,46,10,28
45818,"ASY521","ZSSS","ZBAA","36R","705",1637,1636,1641,20140411,996,1001,5,4,11,15,8,51,46,10,28
45819,"CCA1476","ZHHH","ZBAA","1","333",1635,1634,1643,20140411,994,1003,9,4,11,15,8,51,46,10,28
45820,"CCA976","WSSS","ZBAA","1","561",1641,1639,1645,20140411,999,1005,6,4,11,15,8,51,46,10,28
45821,"CES5113","ZSSS","ZBAA","1","219",1630,1628,1641,20140411,988,1001,13,4,11,13,14,51,46,14,28
45822,"CSN309","VHHH","ZBAA","36L","207",1618,1618,1628,20140411,978,988,10,4,11,13,14,51,46,14,28
45823,"CCA1416","ZUUU","ZBAA","36L","463",1613,1612,1629,20140411,972,989,17,4,11,12,13,51,46,11,28
45824,"CES272","ZSPD","ZBAA","36L","804",1622,1622,1628,20140411,982,988,6,4,11,13,14,51,46,14,28
45825,"CSN6215","ZYDQ","ZBAA","1","231",1624,1623,1632,20140411,983,992,9,4,11,13,14,51,46,14,28
45826,"CES5295","ZBYN","ZBAA","36L","235",1628,1627,1633,20140411,987,993,6,4,11,13,14,51,46,14,28
45827,"CCA186","RCTP","ZBAA","1","526",1621,1621,1630,20140411,981,990,9,4,11,13,14,51,46,14,28
45828,"CHH7246","ZWWW","ZBAA","36L","103",1625,1624,1631,20140411,984,991,7,4,11,13,14,51,46,14,28
45829,"CCA4103","ZUUU","ZBAA","36R","332",1625,1625,1634,20140411,985,994,9,4,11,13,14,51,46,14,28
45830,"CHH7806","ZGGG","ZBAA","36L","A113",1631,1630,1637,20140411,990,997,7,4,11,15,8,51,46,10,28
45831,"CSN324","ZGGG","ZBAA","1","812",1627,1626,1637,20140411,986,997,11,4,11,13,14,51,46,14,28
45832,"CCA1717","ZSHC","ZBAA","36L","304",1603,1602,1620,20140411,962,980,18,4,11,12,13,51,46,11,28
45833,"CCA1902","ZWWW","ZBAA","1","459",1615,1613,1619,20140411,973,979,6,4,11,12,13,51,46,11,28
45834,"CHH7281","ZJHK","ZBAA","36L","A106",1616,1615,1621,20140411,975,981,6,4,11,13,14,51,46,14,28
45835,"VHFMG","ZSPD","ZBAA","36L","727",1609,1609,1621,20140411,969,981,12,4,11,12,13,51,46,11,28
45836,"CSN6133","ZYTL","ZBAA","36R","226",1620,1619,1622,20140411,979,982,3,4,11,13,14,51,46,14,28
45837,"CCA132","RKSI","ZBAA","1","461",1617,1616,1622,20140411,976,982,6,4,11,13,14,51,46,14,28
45838,"CSN3861","ZGOW","ZBAA","36R","227",1611,1609,1611,20140411,969,971,2,4,11,12,13,51,46,11,28
45839,"CCA1592","ZSYN","ZBAA","1","314",1604,1603,1611,20140411,963,971,8,4,11,12,13,51,46,11,28
45840,"CCA992","CYVR","ZBAA","1","536",1609,1608,1615,20140411,968,975,7,4,11,12,13,51,46,11,28
45841,"AAR341","RKJB","ZBAA","1","519",1611,1611,1615,20140411,971,975,4,4,11,12,13,51,46,11,28
45842,"CSN3174","ZHCC","ZBAA","36R","813",1615,1613,1618,20140411,973,978,5,4,11,12,13,51,46,11,28
45843,"CCA4141","ZUCK","ZBAA","36L","412",1605,1605,1621,20140411,965,981,16,4,11,12,13,51,46,11,28
45844,"CHH7192","ZSAM","ZBAA","36R","W205",1617,1616,1621,20140411,976,981,5,4,11,13,14,51,46,14,28
45845,"CCA928","RJBB","ZBAA","1","453",1557,1556,1604,20140411,956,964,8,4,11,7,11,32,45,13,28
45846,"ACA031","CYYZ","ZBAA","1","511",1601,1601,1603,20140411,961,963,2,4,11,12,13,51,46,11,28
45847,"CES5279","ZSOF","ZBAA","36R","233",1607,1606,1609,20140411,966,969,3,4,11,12,13,51,46,11,28
45848,"ASY308","ZSSS","ZBAA","36R","601",1600,1559,1608,20140411,959,968,9,4,11,7,11,32,45,13,28
45849,"B8208","RCSS","ZBAA","1","268",1555,1554,1607,20140411,954,967,13,4,11,7,11,32,45,13,28
45850,"UAE306","OMDB","ZBAA","1","507",1606,1605,1611,20140411,965,971,6,4,11,12,13,51,46,11,28
45851,"CCA1878","ZGZJ","ZBAA","36L","303",1531,1530,1550,20140411,930,950,20,4,11,9,12,32,45,16,28
