"X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_full_date","time_wheelon_real","time_gatein","arr_taxi","mission_month","mission_date","flight_chosen_arr_36l"
5,"CQN2301","ZUCK","ZBAA","36L","239",1009,1010,1017,20140228,610,617,"7",2,28,1
7,"CES5101","ZSSS","ZBAA","36L","221",1016,1016,1028,20140228,616,628,"12",2,28,1
10,"CSC8881","ZUUU","ZBAA","36L","337",947,947,1007,20140228,587,607,"20",2,28,1
11,"ETD888","OMAA","ZBAA","36L","508",951,952,1010,20140228,592,610,"18",2,28,1
12,"AFL204","UUEE","ZBAA","36L","212",954,954,1011,20140228,594,611,"17",2,28,1
14,"CES5169","ZSOF","ZBAA","36L","220",957,957,1011,20140228,597,611,"14",2,28,1
17,"CHH7616","ZSDY","ZBAA","36L","108",1001,1001,1005,20140228,601,605,"4",2,28,1
20,"KLM897","EHAM","ZBAA","36L","210",946,946,956,20140228,586,596,"10",2,28,1
24,"CES2411","ZLLL","ZBAA","36L","806",959,959,1005,20140228,599,605,"6",2,28,1
27,"CSN6700","ZBCZ","ZBAA","36L","236",1025,1024,1029,20140226,624,629,"5",2,26,1
28,"MGL223","ZMUB","ZBAA","36L","519",1012,1011,1028,20140226,611,628,"17",2,26,1
29,"CHH7604","ZSSS","ZBAA","36L","114",1031,1030,1035,20140226,630,635,"5",2,26,1
38,"CCA1342","ZHHH","ZBAA","36L","326",1010,1009,1027,20140226,609,627,"18",2,26,1
39,"CQN2301","ZUCK","ZBAA","36L","802",1020,1019,1024,20140226,619,624,"5",2,26,1
40,"CES5177","ZSNB","ZBAA","36L","805",1000,959,1006,20140226,599,606,"7",2,26,1
41,"CHH7986","UUEE","ZBAA","36L","W207",1006,1006,1011,20140226,606,611,"5",2,26,1
45,"CSN3117","ZHHH","ZBAA","36L","219",953,952,1005,20140226,592,605,"13",2,26,1
46,"AFL204","UUEE","ZBAA","36L","217",1003,1003,1015,20140226,603,615,"12",2,26,1
47,"CSC8881","ZUUU","ZBAA","36L","337",940,939,956,20140226,579,596,"17",2,26,1
48,"CSN3123","ZGHA","ZBAA","36L","801",955,955,1000,20140226,595,600,"5",2,26,1
50,"CES2101","ZLXY","ZBAA","36L","222",951,950,1000,20140226,590,600,"10",2,26,1
52,"CCA1218","ZLIC","ZBAA","36L","312",943,942,1001,20140226,582,601,"19",2,26,1
53,"CES2411","ZLLL","ZBAA","36L","220",948,948,1000,20140226,588,600,"12",2,26,1
58,"KLM897","EHAM","ZBAA","36L","212",944,944,959,20140226,584,599,"15",2,26,1
63,"CES5169","ZSOF","ZBAA","36L","224",937,937,945,20140226,577,585,"8",2,26,1
65,"CES2077","ZLXN","ZBAA","36L","234",925,924,931,20140226,564,571,"7",2,26,1
66,"CES5131","ZSHC","ZBAA","36L","233",922,922,928,20140226,562,568,"6",2,26,1
68,"ETD886","OMAA","ZBAA","36L","518",935,913,935,20140226,553,575,"22",2,26,1
71,"CSH9107","ZSSS","ZBAA","36L","235",934,928,935,20140226,568,575,"7",2,26,1
72,"CES2911","ZSWX","ZBAA","36L","238",916,916,920,20140226,556,560,"4",2,26,1
75,"CES2121","ZLIC","ZBAA","36L","229",919,918,924,20140226,558,564,"6",2,26,1
78,"CES5635","ZSSH","ZBAA","36L","230",909,908,914,20140226,548,554,"6",2,26,1
79,"CES5195","ZSQD","ZBAA","36L","802",850,850,858,20140226,530,538,"8",2,26,0
