"X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_full_date","time_wheelon_real","time_gatein","arr_taxi","mission_month","mission_date","flight_chosen_arr_36r"
9,"CSN3123","ZGHA","ZBAA","36R","224",1001,959,1003,20140228,599,603,"4",2,28,1
13,"CCA1892","ZJSY","ZBAA","36R","301",1004,1004,1011,20140228,604,611,"7",2,28,1
16,"CCA1342","ZHHH","ZBAA","36R","409",1007,1007,1011,20140228,607,611,"4",2,28,1
23,"CCA1701","ZSHC","ZBAA","36R","305",950,949,959,20140228,589,599,"10",2,28,1
35,"CDG4653","ZSQD","ZBAA","36R","317",1013,1012,1020,20140226,612,620,"8",2,26,1
36,"CCA138","RKSS","ZBAA","36R","504",1016,1015,1020,20140226,615,620,"5",2,26,1
118,"DLH720","EDDF","ZBAA","36R","507",918,918,924,20140225,558,564,"6",2,25,1
153,"DLH720","EDDF","ZBAA","36R","508",931,931,942,20140224,571,582,"11",2,24,1
183,"CES2911","ZSWX","ZBAA","36R","239",943,943,951,20140223,583,591,"8",2,23,0
185,"CES5131","ZSHC","ZBAA","36R","227",953,953,954,20140223,593,594,"1",2,23,0
196,"CCA4193","ZUUU","ZBAA","36R","324",939,938,944,20140223,578,584,"6",2,23,0
202,"AAR3315","RKSS","ZBAA","36R","523",932,931,933,20140223,571,573,"2",2,23,0
223,"CES5111","ZSSS","ZBAA","36R","808",1504,1502,1507,20140214,902,907,"5",2,14,1
229,"GDC7130","ZYHB","ZBAA","36R","115",1453,1448,1456,20140214,888,896,"8",2,14,1
238,"CCA8216","ZHHH","ZBAA","36R","332",1439,1438,1446,20140214,878,886,"8",2,14,1
242,"CHH7606","ZSSS","ZBAA","36R","A113",1430,1429,1435,20140214,869,875,"6",2,14,1
249,"CCA1460","ZUYB","ZBAA","36R","327",1413,1413,1417,20140214,853,857,"4",2,14,1
252,"CCA1432","ZUCK","ZBAA","36R","455",1418,1417,1421,20140214,857,861,"4",2,14,1
254,"CCA1496","ZUZY","ZBAA","36R","360",1421,1420,1426,20140214,860,866,"6",2,14,1
260,"CCA1568","ZSWZ","ZBAA","36R","320",1401,1401,1407,20140214,841,847,"6",2,14,1
265,"CSN6113","ZYAS","ZBAA","36R","236",1350,1349,1355,20140214,829,835,"6",2,14,1
269,"CXA8101","ZSAM","ZBAA","36R","234",1359,1358,1402,20140214,838,842,"4",2,14,1
271,"CCA108","VHHH","ZBAA","36R","533",1337,1336,1341,20140214,816,821,"5",2,14,1
