"X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_full_date","time_wheelon_real","time_gatein","arr_taxi","mission_month","mission_date","dep_15_per_arr","arr_15_per_arr","dep_60_per_arr","arr_60_per_arr","pb_15_per_arr","pb_60_per_arr"
1,"CDG4653","ZSQD","ZBAA","1","314",1008,1008,1015,20140228,608,615,"7",2,28,9,11,32,50,6,7
2,"EPA6224","ZSHC","ZBAA","1","N213",1012,1012,1020,20140228,612,620,"8",2,28,9,11,32,50,6,7
3,"CCA1951","ZSWZ","ZBAA","1","302",1014,1013,1021,20140228,613,621,"8",2,28,9,11,32,50,6,7
4,"CCA1802","ZSAM","ZBAA","1","412",1020,1019,1025,20140228,619,625,"6",2,28,9,13,32,50,5,7
5,"CQN2301","ZUCK","ZBAA","36L","239",1009,1010,1017,20140228,610,617,"7",2,28,9,11,32,50,6,7
6,"KAL2851","RKSS","ZBAA","1","217",1016,1016,1028,20140228,616,628,"12",2,28,9,13,32,50,5,7
7,"CES5101","ZSSS","ZBAA","36L","221",1016,1016,1028,20140228,616,628,"12",2,28,9,13,32,50,5,7
8,"CCA1286","ZYCY","ZBAA","1","327",1024,1024,1032,20140228,624,632,"8",2,28,9,13,32,50,5,7
9,"CSN3123","ZGHA","ZBAA","36R","224",1001,959,1003,20140228,599,603,"4",2,28,6,12,55,34,10,7
10,"CSC8881","ZUUU","ZBAA","36L","337",947,947,1007,20140228,587,607,"20",2,28,6,12,55,34,10,7
11,"ETD888","OMAA","ZBAA","36L","508",951,952,1010,20140228,592,610,"18",2,28,6,12,55,34,10,7
12,"AFL204","UUEE","ZBAA","36L","212",954,954,1011,20140228,594,611,"17",2,28,6,12,55,34,10,7
13,"CCA1892","ZJSY","ZBAA","36R","301",1004,1004,1011,20140228,604,611,"7",2,28,9,11,32,50,6,7
14,"CES5169","ZSOF","ZBAA","36L","220",957,957,1011,20140228,597,611,"14",2,28,6,12,55,34,10,7
15,"KOR151","ZKPY","ZBAA","1","707",1003,1002,1014,20140228,602,614,"12",2,28,9,11,32,50,6,7
16,"CCA1342","ZHHH","ZBAA","36R","409",1007,1007,1011,20140228,607,611,"4",2,28,9,11,32,50,6,7
17,"CHH7616","ZSDY","ZBAA","36L","108",1001,1001,1005,20140228,601,605,"4",2,28,9,11,32,50,6,7
18,"CCA1110","ZBXH","ZBAA","1","319",1006,1005,1012,20140228,605,612,"7",2,28,9,11,32,50,6,7
19,"CCA1662","ZYCC","ZBAA","1","309",1010,1010,1017,20140228,610,617,"7",2,28,9,11,32,50,6,7
20,"KLM897","EHAM","ZBAA","36L","210",946,946,956,20140228,586,596,"10",2,28,6,12,55,34,10,7
21,"CSN6213","ZYDQ","ZBAA","1","234",951,952,959,20140228,592,599,"7",2,28,6,12,55,34,10,7
22,"CCA1858","ZSSS","ZBAA","1","463",956,956,959,20140228,596,599,"3",2,28,6,12,55,34,10,7
23,"CCA1701","ZSHC","ZBAA","36R","305",950,949,959,20140228,589,599,"10",2,28,6,12,55,34,10,7
24,"CES2411","ZLLL","ZBAA","36L","806",959,959,1005,20140228,599,605,"6",2,28,6,12,55,34,10,7
25,"CSN6201","ZYHB","ZBAA","1","229",953,953,1003,20140228,593,603,"10",2,28,6,12,55,34,10,7
26,"CCA1802","ZSAM","ZBAA","1","414",1023,1024,1028,20140226,624,628,"4",2,26,13,11,44,49,7,7
27,"CSN6700","ZBCZ","ZBAA","36L","236",1025,1024,1029,20140226,624,629,"5",2,26,13,11,44,49,7,7
28,"MGL223","ZMUB","ZBAA","36L","519",1012,1011,1028,20140226,611,628,"17",2,26,13,10,44,49,7,7
29,"CHH7604","ZSSS","ZBAA","36L","114",1031,1030,1035,20140226,630,635,"5",2,26,9,14,44,49,7,7
30,"CCA1820","ZSNJ","ZBAA","1","412",1026,1025,1032,20140226,625,632,"7",2,26,13,11,44,49,7,7
31,"CCA1854","ZSNB","ZBAA","1","311",1031,1030,1035,20140226,630,635,"5",2,26,9,14,44,49,7,7
32,"KAL2851","RKSS","ZBAA","1","214",1019,1019,1035,20140226,619,635,"16",2,26,13,11,44,49,7,7
33,"N415P","ZSPD","ZBAA","1","627",1001,1000,1021,20140226,600,621,"21",2,26,13,10,44,49,7,7
34,"CSN6145","ZYCC","ZBAA","1","227",1005,1004,1021,20140226,604,621,"17",2,26,13,10,44,49,7,7
35,"CDG4653","ZSQD","ZBAA","36R","317",1013,1012,1020,20140226,612,620,"8",2,26,13,10,44,49,7,7
36,"CCA138","RKSS","ZBAA","36R","504",1016,1015,1020,20140226,615,620,"5",2,26,13,11,44,49,7,7
37,"AMU006","VMMC","ZBAA","1","517",1021,1020,1025,20140226,620,625,"5",2,26,13,11,44,49,7,7
38,"CCA1342","ZHHH","ZBAA","36L","326",1010,1009,1027,20140226,609,627,"18",2,26,13,10,44,49,7,7
39,"CQN2301","ZUCK","ZBAA","36L","802",1020,1019,1024,20140226,619,624,"5",2,26,13,11,44,49,7,7
40,"CES5177","ZSNB","ZBAA","36L","805",1000,959,1006,20140226,599,606,"7",2,26,10,10,55,35,12,7
41,"CHH7986","UUEE","ZBAA","36L","W207",1006,1006,1011,20140226,606,611,"5",2,26,13,10,44,49,7,7
42,"CCA1586","ZSYT","ZBAA","1","320",1008,1007,1011,20140226,607,611,"4",2,26,13,10,44,49,7,7
43,"CES5101","ZSSS","ZBAA","1","221",954,953,1015,20140226,593,615,"22",2,26,10,10,55,35,12,7
44,"CCA1892","ZJSY","ZBAA","1","308",1010,1011,1015,20140226,611,615,"4",2,26,13,10,44,49,7,7
45,"CSN3117","ZHHH","ZBAA","36L","219",953,952,1005,20140226,592,605,"13",2,26,10,10,55,35,12,7
46,"AFL204","UUEE","ZBAA","36L","217",1003,1003,1015,20140226,603,615,"12",2,26,13,10,44,49,7,7
47,"CSC8881","ZUUU","ZBAA","36L","337",940,939,956,20140226,579,596,"17",2,26,15,9,55,35,10,7
48,"CSN3123","ZGHA","ZBAA","36L","801",955,955,1000,20140226,595,600,"5",2,26,10,10,55,35,12,7
49,"CHH7616","ZSDY","ZBAA","1","103",947,946,1000,20140226,586,600,"14",2,26,10,10,55,35,12,7
50,"CES2101","ZLXY","ZBAA","36L","222",951,950,1000,20140226,590,600,"10",2,26,10,10,55,35,12,7
51,"CCA1701","ZSHC","ZBAA","1","309",957,956,1003,20140226,596,603,"7",2,26,10,10,55,35,12,7
52,"CCA1218","ZLIC","ZBAA","36L","312",943,942,1001,20140226,582,601,"19",2,26,15,9,55,35,10,7
53,"CES2411","ZLLL","ZBAA","36L","220",948,948,1000,20140226,588,600,"12",2,26,10,10,55,35,12,7
54,"CSN6201","ZYHB","ZBAA","1","804",951,951,1003,20140226,591,603,"12",2,26,10,10,55,35,12,7
55,"CXA8117","ZSAM","ZBAA","1","237",950,948,1004,20140226,588,604,"16",2,26,10,10,55,35,12,7
56,"CSN6151","ZYYJ","ZBAA","1","240",933,933,947,20140226,573,587,"14",2,26,15,9,55,35,10,7
57,"CCA1110","ZBXH","ZBAA","1","325",944,943,950,20140226,583,590,"7",2,26,15,9,55,35,10,7
58,"KLM897","EHAM","ZBAA","36L","212",944,944,959,20140226,584,599,"15",2,26,15,9,55,35,10,7
59,"CSC8829","ZUCK","ZBAA","1","323",929,927,935,20140226,567,575,"8",2,26,14,10,55,35,12,7
60,"KAL849","RKPK","ZBAA","1","206",915,915,938,20140226,555,578,"23",2,26,14,10,55,35,12,7
61,"CCA1131","","ZBAA","1","452",919,923,933,20140226,563,573,"10",2,26,14,10,55,35,12,7
62,"CCA1662","ZYCC","ZBAA","1","461",939,937,942,20140226,577,582,"5",2,26,15,9,55,35,10,7
63,"CES5169","ZSOF","ZBAA","36L","224",937,937,945,20140226,577,585,"8",2,26,15,9,55,35,10,7
64,"CCA1858","ZSSS","ZBAA","1","307",941,940,947,20140226,580,587,"7",2,26,15,9,55,35,10,7
65,"CES2077","ZLXN","ZBAA","36L","234",925,924,931,20140226,564,571,"7",2,26,14,10,55,35,12,7
66,"CES5131","ZSHC","ZBAA","36L","233",922,922,928,20140226,562,568,"6",2,26,14,10,55,35,12,7
67,"CCA4193","ZUUU","ZBAA","1","328",920,920,929,20140226,560,569,"9",2,26,14,10,55,35,12,7
68,"ETD886","OMAA","ZBAA","36L","518",935,913,935,20140226,553,575,"22",2,26,16,6,55,35,17,7
