"","X.1","X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","mission_date","time_pushback","time_takeoff_real","dep_taxi","X.2","dep_window","dep_date","dep_hour","dep_01_in_cluster","dep_01_per_dep","arr_01_per_dep"
"2",2,2,"AAL186","ZBAA","KORD","1","521",1008,1010,1020,20140228,608,620,"12",2,35,2,11,1,12,18
"17",17,17,"CCA1839","ZBAA","ZSNB","1","312",955,955,957,20140228,595,597,"2",17,34,2,10,1,12,18
"18",18,18,"CDG4652","ZBAA","ZSQD","1","315",955,955,1000,20140228,595,600,"5",18,35,2,11,1,12,18
"22",22,22,"CDG1158","ZBAA","ZSJN","1","317",958,940,1003,20140228,598,603,"5",22,35,2,11,1,12,18
"23",23,23,"CCA162W","ZBAA","ZYHB","1","302",1013,1000,1026,20140226,613,626,"13",23,35,2,11,1,12,18
"31",31,31,"CDG4652","ZBAA","ZSQD","1","310",954,955,1015,20140226,594,615,"21",31,35,2,11,1,12,18
"34",34,34,"AAL186","ZBAA","KORD","1","521",1006,1010,1021,20140226,606,621,"15",34,35,2,11,1,12,18
"39",39,39,"CCD890X","ZBAA","ZYTL","1","359",952,830,1005,20140226,592,605,"13",39,35,2,11,1,12,18
"45",45,45,"CCA1839","ZBAA","ZSNB","1","306",953,950,1008,20140226,593,608,"15",45,35,2,11,1,14,18
"47",47,47,"CCA1519","ZBAA","ZSSS","1","308",938,930,957,20140226,578,597,"19",47,34,2,10,1,14,18
"50",50,50,"CDG1158","ZBAA","ZSJN","1","318",946,940,1002,20140226,586,602,"16",50,35,2,11,1,14,18
"61",61,61,"CCD890R","ZBAA","ZYTL","1","317",941,730,954,20140226,581,594,"13",61,34,2,10,1,14,18
"66",66,66,"CCA163Q","ZBAA","ZYHB","1","360",914,900,938,20140226,554,578,"24",66,34,2,10,1,12,18
"67",67,67,"LOT092","ZBAA","EPWA","1","514",905,845,935,20140226,545,575,"30",67,34,2,10,1,10,21
"69",69,69,"CCA1579","ZBAA","ZSNT","1","465",928,925,941,20140226,568,581,"13",69,34,2,10,1,10,21
"71",71,71,"CDG4852","ZBAA","ZSYT","1","311",929,935,944,20140226,569,584,"15",71,34,2,10,1,14,18
"75",75,75,"CCA1643","ZBAA","ZYHB","1","314",908,855,928,20140226,548,568,"20",75,34,2,10,1,10,21
"77",77,77,"CCA1595","ZBAA","ZSHC","1","312",914,905,934,20140226,554,574,"20",77,34,2,10,1,14,18
"78",78,78,"CCA1879","ZBAA","ZSYW","1","561",856,850,925,20140226,536,565,"29",78,34,2,10,1,14,18
"80",80,80,"ANA956","ZBAA","RJAA","1","527",856,855,931,20140226,536,571,"35",80,34,2,10,1,10,21
"84",84,84,"CCA123","ZBAA","RKSI","1","512",850,845,921,20140226,530,561,"31",84,34,2,10,1,14,18
"87",87,87,"CCA927","ZBAA","RJBB","1","506",850,840,918,20140226,530,558,"28",87,34,2,10,1,14,18
"90",90,90,"CCA1817","ZBAA","ZSNJ","1","404",855,850,924,20140226,535,564,"29",90,34,2,10,1,12,18
"96",96,96,"CCA1841","ZBAA","ZSYA","1","454",849,840,912,20140226,529,552,"23",96,34,2,10,1,12,18
"98",98,98,"CCA1835","ZBAA","ZSPD","1","305",853,800,903,20140226,533,543,"10",98,34,2,10,1,10,19
"103",103,103,"CCA185","ZBAA","RCTP","1","508",843,830,855,20140226,523,535,"12",103,33,2,9,1,12,18
"106",106,106,"CCA1651","ZBAA","ZYTX","1","318",848,840,859,20140226,528,539,"11",106,33,2,9,1,12,18
"111",111,111,"CCA1255","ZBAA","ZSOF","1","356",849,840,907,20140226,529,547,"18",111,34,2,10,1,12,18
"114",114,114,"CCA129","ZBAA","RKPK","1","505",829,825,850,20140226,509,530,"21",114,33,2,9,1,10,19
"118",118,118,"CCA1501","ZBAA","ZSSS","1","301",837,830,853,20140226,517,533,"16",118,33,2,9,1,10,19
"122",122,122,"CCA181","ZBAA","RJTT","1","517",842,835,857,20140226,522,537,"15",122,33,2,9,1,12,18
"125",125,125,"JAL860","ZBAA","RJAA","1","518",826,825,841,20140226,506,521,"15",125,33,2,9,1,12,18
"132",132,132,"CCA1337","ZBAA","ZGSZ","1","409",828,830,845,20140226,508,525,"17",132,33,2,9,1,12,18
"137",137,137,"CCA1805","ZBAA","ZSGS","1","403",811,815,827,20140226,491,507,"16",137,33,2,9,1,12,18
"141",141,141,"CCD1809","ZBAA","ZSAM","1","358",817,815,831,20140226,497,511,"14",141,33,2,9,1,12,18
"142",142,142,"CCA1827","ZBAA","ZSWH","1","459",827,715,833,20140226,507,513,"6",142,33,2,9,1,12,18
"152",152,152,"CCA1351","ZBAA","ZGGG","1","337",807,805,816,20140226,487,496,"9",152,33,2,9,1,12,18
"168",168,168,"CCA1827","ZBAA","ZSWH","1","313",941,715,950,20140225,581,590,"9",168,34,2,10,1,12,18
"171",171,171,"CCA1839","ZBAA","ZSNB","1","318",953,955,956,20140225,593,596,"3",171,34,2,10,1,14,18
"173",173,173,"CCA123","ZBAA","RKSI","1","514",931,845,953,20140225,571,593,"22",173,34,2,10,1,14,18
"177",177,177,"CDG4852","ZBAA","ZSYT","1","315",934,935,944,20140225,574,584,"10",177,34,2,10,1,14,18
"180",180,180,"CCA1519","ZBAA","ZSSS","1","302",933,930,945,20140225,573,585,"12",180,34,2,10,1,14,18
"185",185,185,"CCA106A","ZBAA","ZYTL","1","515",916,900,928,20140225,556,568,"12",185,34,2,10,1,14,18
"190",190,190,"CDG1158","ZBAA","ZSJN","1","309",931,940,937,20140225,571,577,"6",190,34,2,10,1,14,18
"192",192,192,"CCA1595","ZBAA","ZSHC","1","304",910,905,920,20140225,550,560,"10",192,34,2,10,1,14,18
"194",194,194,"CCA1643","ZBAA","ZYHB","1","311",853,855,918,20140225,533,558,"25",194,34,2,10,1,14,18
"197",197,197,"CCA925","ZBAA","RJAA","1","501",910,910,921,20140225,550,561,"11",197,34,2,10,1,10,21
"198",198,198,"CCA1579","ZBAA","ZSNT","1","312",918,925,925,20140225,558,565,"7",198,34,2,10,1,14,18
"203",203,203,"CCA1817","ZBAA","ZSNJ","1","406",853,850,907,20140225,533,547,"14",203,34,2,10,1,14,18
"204",204,204,"CCA953","ZBAA","ZYTL","1","458",848,840,910,20140225,528,550,"22",204,34,2,10,1,14,18
"205",205,205,"CCA1651","ZBAA","ZYTX","1","560",849,840,909,20140225,529,549,"20",205,34,2,10,1,10,21
"211",211,211,"ANA956","ZBAA","RJAA","1","527",848,855,916,20140225,528,556,"28",211,34,2,10,1,14,18
"212",212,212,"CCA1255","ZBAA","ZSOF","1","322",843,840,858,20140225,523,538,"15",212,33,2,9,1,14,18
"214",214,214,"SIA805","ZBAA","WSSS","1","511",845,845,900,20140225,525,540,"15",214,34,2,10,1,12,17
"218",218,218,"CCA1879","ZBAA","ZSYW","1","355",849,850,902,20140225,529,542,"13",218,34,2,10,1,10,21
"221",221,221,"CCA1603","ZBAA","ZYHB","1","318",851,735,905,20140225,531,545,"14",221,34,2,10,1,10,21
"222",222,222,"CCA185","ZBAA","RCTP","1","516",839,830,849,20140225,519,529,"10",222,33,2,9,1,10,21
"229",229,229,"CCA1841","ZBAA","ZSYA","1","317",840,840,853,20140225,520,533,"13",229,33,2,9,1,10,21
"230",230,230,"CCA181","ZBAA","RJTT","1","502",842,835,856,20140225,522,536,"14",230,33,2,9,1,10,21
"232",232,232,"CCA927","ZBAA","RJBB","1","522",836,840,855,20140225,516,535,"19",232,33,2,9,1,10,21
"240",240,240,"CCA1805","ZBAA","ZSGS","1","402",829,815,842,20140225,509,522,"13",240,33,2,9,1,10,21
"242",242,242,"CCA1835","ZBAA","ZSPD","1","310",840,800,846,20140225,520,526,"6",242,33,2,9,1,10,21
"247",247,247,"JAL860","ZBAA","RJAA","1","518",824,825,832,20140225,504,512,"8",247,33,2,9,1,12,17
"254",254,254,"CCA1501","ZBAA","ZSSS","1","308",834,830,839,20140225,514,519,"5",254,33,2,9,1,12,17
"257",257,257,"CCD1809","ZBAA","ZSAM","1","329",811,815,828,20140225,491,508,"17",257,33,2,9,1,12,17
"260",260,260,"CDG1198","ZBAA","ZSJJ","1","452",804,755,824,20140225,484,504,"20",260,33,2,9,1,12,17
"274",274,274,"CCA1351","ZBAA","ZGGG","1","307",806,805,810,20140225,486,490,"4",274,33,2,9,1,12,17
"283",283,283,"HDA905","ZBAA","VHHH","1","526",754,800,804,20140225,474,484,"10",283,33,2,9,1,12,17
"289",289,289,"CCA1509","ZBAA","ZSHC","1","306",754,755,806,20140225,474,486,"12",289,33,2,9,1,12,17
"291",291,291,"CCA1609","ZBAA","ZYCC","1","466",802,755,808,20140225,482,488,"6",291,33,2,9,1,12,17
"296",296,296,"CCA1567","ZBAA","ZSWZ","1","309",749,745,754,20140225,469,474,"5",296,32,2,8,1,12,17
"299",299,299,"HDA937","ZBAA","VHHH","1","525",746,740,758,20140225,466,478,"12",299,32,2,8,1,12,17
"300",300,300,"CCA1505","ZBAA","ZSFZ","1","465",751,745,800,20140225,471,480,"9",300,33,2,9,1,12,17
"304",304,304,"CCD893V","ZBAA","ZYTL","1","459",750,630,756,20140225,470,476,"6",304,32,2,8,1,12,17
"305",305,305,"CCA1831","ZBAA","ZSSS","1","301",734,730,746,20140225,454,466,"12",305,32,2,8,1,12,17
"307",307,307,"CCA1285","ZBAA","ZYCY","1","315",736,730,747,20140225,456,467,"11",307,32,2,8,1,12,17
"310",310,310,"CCA1569","ZBAA","ZSQD","1","404",737,730,749,20140225,457,469,"12",310,32,2,8,1,12,17
"313",313,313,"CCA1683","ZBAA","ZYDQ","1","555",729,725,751,20140225,449,471,"22",313,32,2,8,1,12,17
"337",337,337,"CCA925","ZBAA","RJAA","1","524",912,910,936,20140224,552,576,"24",337,34,2,10,1,12,17
"346",346,346,"CCA1879","ZBAA","ZSYW","1","565",856,850,923,20140224,536,563,"27",346,34,2,10,1,12,17
"347",347,347,"CCA1643","ZBAA","ZYHB","1","403",855,855,924,20140224,535,564,"29",347,34,2,10,1,12,17
"349",349,349,"CCA1595","ZBAA","ZSHC","1","314",914,905,927,20140224,554,567,"13",349,34,2,10,1,12,17
"354",354,354,"SIA805","ZBAA","WSSS","1","513",847,845,911,20140224,527,551,"24",354,34,2,10,1,12,17
"361",361,361,"ANA956","ZBAA","RJAA","1","527",849,855,918,20140224,529,558,"29",361,34,2,10,1,12,17
"364",364,364,"CCA123","ZBAA","RKSI","1","516",851,845,916,20140224,531,556,"25",364,34,2,10,1,12,17
"365",365,365,"JAL860","ZBAA","RJAA","1","518",844,825,909,20140224,524,549,"25",365,34,2,10,1,12,17
"366",366,366,"CCA953","ZBAA","ZYTL","1","360",851,840,900,20140224,531,540,"9",366,34,2,10,1,12,17
"372",372,372,"CCA1817","ZBAA","ZSNJ","1","311",853,850,905,20140224,533,545,"12",372,34,2,10,1,12,17
"379",379,379,"CCA927","ZBAA","RJBB","1","534",840,840,854,20140224,520,534,"14",379,33,2,9,1,12,17
"380",380,380,"CCA1651","ZBAA","ZYTX","1","316",842,840,852,20140224,522,532,"10",380,33,2,9,1,12,17
"384",384,384,"CCA1255","ZBAA","ZSOF","1","564",844,840,858,20140224,524,538,"14",384,33,2,9,1,8,20
"387",387,387,"CCA1827","ZBAA","ZSWH","1","412",850,715,904,20140224,530,544,"14",387,34,2,10,1,8,20
"388",388,388,"CCA1337","ZBAA","ZGSZ","1","335",842,830,856,20140224,522,536,"14",388,33,2,9,1,8,20
"390",390,390,"CCA185","ZBAA","RCTP","1","463",838,830,845,20140224,518,525,"7",390,33,2,9,1,8,20
"391",391,391,"CCA181","ZBAA","RJTT","1","502",838,835,847,20140224,518,527,"9",391,33,2,9,1,8,20
"395",395,395,"CCA1501","ZBAA","ZSSS","1","301",839,830,849,20140224,519,529,"10",395,33,2,9,1,8,20
"410",410,410,"CCA1841","ZBAA","ZSYA","1","359",838,840,843,20140224,518,523,"5",410,33,2,9,1,8,20
"412",412,412,"HDA905","ZBAA","VHHH","1","523",822,800,841,20140224,502,521,"19",412,33,2,9,1,8,20
"413",413,413,"CCA153","ZBAA","ZYTL","1","461",829,825,837,20140224,509,517,"8",413,33,2,9,1,8,20
"414",414,414,"CCD1809","ZBAA","ZSAM","1","318",821,815,829,20140224,501,509,"8",414,33,2,9,1,8,20
