"","X.1","X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_window_per15","dep_window_per60","dep_36r_in_cluster","dep_36r_per_dep","arr_36r_per_dep"
"1",1,1,"GDC7129","ZBAA","ZYHB","36R","114",949,945,1017,20140228,589,617,"28",2,28,2634,659,1,22,12
"3",3,3,"CES5106","ZBAA","ZSSS","36R","239",1012,955,1018,20140228,612,618,"6",2,28,2634,659,1,22,12
"4",4,4,"CPA347","ZBAA","VHHH","36R","523",955,1000,1020,20140228,595,620,"25",2,28,2634,659,1,22,12
"6",6,6,"CES525","ZBAA","ZSQD","36R","807",1005,1000,1024,20140228,605,624,"19",2,28,2634,659,1,22,12
"7",7,7,"CSN6144","ZBAA","ZYCC","36R","233",1015,1020,1027,20140228,615,627,"12",2,28,2634,659,1,22,12
"9",9,9,"CHH7191","ZBAA","ZSAM","36R","810",937,935,1009,20140228,577,609,"32",2,28,2633,659,1,22,12
"10",10,10,"CCA1255","ZBAA","ZSOF","36R","355",949,840,1013,20140228,589,613,"24",2,28,2633,659,1,22,12
"11",11,11,"CXA8160","ZBAA","ZSZS","36R","236",941,855,1012,20140228,581,612,"31",2,28,2633,659,1,22,12
"12",12,12,"CCA1367","ZBAA","ZGSZ","36R","463",936,930,1010,20140228,576,610,"34",2,28,2633,659,1,22,12
"13",13,13,"PIA852","ZBAA","RJAA","36R","208",945,835,1015,20140228,585,615,"30",2,28,2634,659,1,22,12
"14",14,14,"CCA1415","ZBAA","ZUUU","36R","330",951,955,956,20140228,591,596,"5",2,28,2632,658,1,24,5
"15",15,15,"CCA111","ZBAA","VHHH","36R","528",929,930,954,20140228,569,594,"25",2,28,2632,658,1,24,5
"16",16,16,"CHH7765","ZBAA","ZYCC","36R","111",935,925,1000,20140228,575,600,"25",2,28,2633,659,1,22,12
"20",20,20,"CSN3000","ZBAA","ZGGG","36R","221",932,930,951,20140228,572,591,"19",2,28,2632,658,1,24,5
"21",21,21,"CNM1121","ZBAA","ZBOW","36R","328",947,955,1005,20140228,587,605,"18",2,28,2633,659,1,22,12
"24",24,24,"N999FH","ZBAA","RPLC","36R","628",1005,1000,1025,20140226,605,625,"20",2,26,2442,611,1,30,2
"25",25,25,"CBJ5375","ZBAA","ZSAM","36R","W201",1012,1010,1030,20140226,612,630,"18",2,26,2443,611,1,30,2
"26",26,26,"CSN6144","ZBAA","ZYCC","36R","236",1011,1020,1028,20140226,611,628,"17",2,26,2442,611,1,30,2
"28",28,28,"GDC7129","ZBAA","ZYHB","36R","105",1001,945,1024,20140226,601,624,"23",2,26,2442,611,1,30,2
"29",29,29,"CSN6132","ZBAA","ZYTL","36R","734",1022,820,1033,20140226,622,633,"11",2,26,2443,611,1,30,2
"30",30,30,"CCA1209","ZBAA","ZLXY","36R","322",1028,1025,1034,20140226,628,634,"6",2,26,2443,611,1,30,2
"33",33,33,"CHH7967","ZBAA","UIII","36R","215",956,1000,1019,20140226,596,619,"23",2,26,2442,611,1,30,2
"35",35,35,"CES525","ZBAA","ZSQD","36R","802",951,955,1021,20140226,591,621,"30",2,26,2442,611,1,30,2
"36",36,36,"CES5106","ZBAA","ZSSS","36R","227",956,955,1022,20140226,596,622,"26",2,26,2442,611,1,30,2
"37",37,37,"CPA347","ZBAA","VHHH","36R","507",1001,1000,1016,20140226,601,616,"15",2,26,2442,611,1,30,2
"40",40,40,"CCA1367","ZBAA","ZGSZ","36R","526",946,930,1003,20140226,586,603,"17",2,26,2441,611,1,30,2
"41",41,41,"CNM1121","ZBAA","ZBOW","36R","316",957,955,1005,20140226,597,605,"8",2,26,2441,611,1,30,2
"43",43,43,"CHH7191","ZBAA","ZSAM","36R","W105",941,935,1009,20140226,581,609,"28",2,26,2441,611,1,30,2
"44",44,44,"CCA1415","ZBAA","ZUUU","36R","405",958,955,1007,20140226,598,607,"9",2,26,2441,611,1,30,2
"49",49,49,"CCA1385","ZBAA","ZHXF","36R","412",941,725,1000,20140226,581,600,"19",2,26,2441,611,1,30,2
"52",52,52,"CYZ9021","ZBAA","ZSPD","36R","816",926,300,1002,20140226,566,602,"36",2,26,2441,611,1,30,2
"54",54,54,"CCA1429","ZBAA","ZUCK","36R","326",932,930,943,20140226,572,583,"11",2,26,2439,610,0,27,0
"56",56,56,"CCA111","ZBAA","VHHH","36R","516",930,930,950,20140226,570,590,"20",2,26,2440,610,0,27,0
"57",57,57,"CCA1901","ZBAA","ZWWW","36R","457",931,930,948,20140226,571,588,"17",2,26,2440,610,0,27,0
"58",58,58,"CSN3000","ZBAA","ZGGG","36R","221",928,930,945,20140226,568,585,"17",2,26,2440,610,0,27,0
"60",60,60,"CHH7765","ZBAA","ZYCC","36R","W203",925,925,952,20140226,565,592,"27",2,26,2440,610,0,27,0
"64",64,64,"CSN3901","ZBAA","ZPPP","36R","609",926,910,935,20140226,566,575,"9",2,26,2439,610,0,27,0
"65",65,65,"CCA1239","ZBAA","ZLLL","36R","319",921,915,938,20140226,561,578,"17",2,26,2439,610,0,27,0
"70",70,70,"CCA1321","ZBAA","ZGGG","36R","307",917,900,939,20140226,557,579,"22",2,26,2439,610,0,27,0
"72",72,72,"CES5104","ZBAA","ZSSS","36R","706",907,900,925,20140226,547,565,"18",2,26,2438,610,0,27,0
"73",73,73,"CDG1195","ZBAA","ZLIC","36R","320",915,910,930,20140226,555,570,"15",2,26,2439,610,0,27,0
"74",74,74,"SBI864","ZBAA","UNNT","36R","520",909,905,928,20140226,549,568,"19",2,26,2438,610,0,27,0
"76",76,76,"CCA925","ZBAA","RJAA","36R","503",916,910,932,20140226,556,572,"16",2,26,2439,610,0,27,0
"79",79,79,"MAS371","ZBAA","WMKK","36R","531",917,855,933,20140226,557,573,"16",2,26,2439,610,0,27,0
"81",81,81,"CHH7605","ZBAA","ZSSS","36R","N109",857,845,918,20140226,537,558,"21",2,26,2438,610,0,27,0
"82",82,82,"SIA805","ZBAA","WSSS","36R","511",901,845,916,20140226,541,556,"15",2,26,2438,610,0,27,0
"83",83,83,"CHH7987","ZBAA","RCTP","36R","216",903,910,922,20140226,543,562,"19",2,26,2438,610,0,27,0
"85",85,85,"CCA1487","ZBAA","ZUDX","36R","414",907,910,920,20140226,547,560,"13",2,26,2438,610,0,27,0
"88",88,88,"CCA4112","ZBAA","ZUUU","36R","455",907,900,923,20140226,547,563,"16",2,26,2438,610,0,27,0
"89",89,89,"CSC8581","ZBAA","ZLZW","36R","321",912,900,927,20140226,552,567,"15",2,26,2438,610,0,27,0
"91",91,91,"AMU007","ZBAA","VMMC","36R","522",833,830,904,20140226,513,544,"31",2,26,2437,610,0,27,0
"93",93,93,"CSC8838","ZBAA","ZUWX","36R","556",847,845,908,20140226,527,548,"21",2,26,2437,610,0,27,0
"94",94,94,"CES5164","ZBAA","ZSHC","36R","238",845,850,909,20140226,525,549,"24",2,26,2437,610,0,27,0
"95",95,95,"CCA1289","ZBAA","ZLXY","36R","333",858,855,911,20140226,538,551,"13",2,26,2437,610,0,27,0
"99",99,99,"CXA8160","ZBAA","ZSZS","36R","604",903,855,914,20140226,543,554,"11",2,26,2437,610,0,27,0
"101",101,101,"CSN6267","ZBAA","ZYHB","36R","806",855,855,912,20140226,535,552,"17",2,26,2437,610,0,27,0
"102",102,102,"CCA1451","ZBAA","ZUMY","36R","353",844,840,857,20140226,524,537,"13",2,26,2436,609,1,33,0
"107",107,107,"CES5166","ZBAA","ZSSS","36R","708",842,830,859,20140226,522,539,"17",2,26,2436,609,1,33,0
"110",110,110,"CHH7277","ZBAA","ZSHC","36R","707",848,835,901,20140226,528,541,"13",2,26,2437,610,0,27,0
"112",112,112,"CES535","ZBAA","ZSQD","36R","804",844,845,906,20140226,524,546,"22",2,26,2437,610,0,27,0
"115",115,115,"CSZ9889","ZBAA","ZGSZ","36R","551",813,810,850,20140226,493,530,"37",2,26,2436,609,1,33,0
"116",116,116,"CCA1293","ZBAA","ZWWW","36R","332",838,830,848,20140226,518,528,"10",2,26,2436,609,1,33,0
"119",119,119,"CCA1431","ZBAA","ZUCK","36R","330",837,830,854,20140226,517,534,"17",2,26,2436,609,1,33,0
"120",120,120,"CSS6878","ZBAA","ZSPD","36R","809",809,425,852,20140226,489,532,"43",2,26,2436,609,1,33,0
"121",121,121,"CES2862","ZBAA","ZSNJ","36R","815",834,810,856,20140226,514,536,"22",2,26,2436,609,1,33,0
"123",123,123,"CCA101","ZBAA","VHHH","36R","501",801,800,837,20140226,481,517,"36",2,26,2435,609,1,33,0
"124",124,124,"CSN317","ZBAA","RKSS","36R","206",815,820,839,20140226,495,519,"24",2,26,2435,609,1,33,0
"126",126,126,"GDC7127","ZBAA","ZYHB","36R","115",821,815,842,20140226,501,522,"21",2,26,2435,609,1,33,0
"127",127,127,"CCA905","ZBAA","ZPPP","36R","563",809,805,840,20140226,489,520,"31",2,26,2435,609,1,33,0
"129",129,129,"CCA1469","ZBAA","ZPLJ","36R","464",822,820,844,20140226,502,524,"22",2,26,2435,609,1,33,0
"130",130,130,"CES2467","ZBAA","ZYHB","36R","W106",825,820,846,20140226,505,526,"21",2,26,2436,609,1,33,0
"134",134,134,"CCA4125","ZBAA","ZULS","36R","555",755,750,827,20140226,475,507,"32",2,26,2434,609,1,33,0
"138",138,138,"CES2785","ZBAA","ZYTX","36R","814",805,805,830,20140226,485,510,"25",2,26,2435,609,1,33,0
"139",139,139,"CHH7607","ZBAA","ZSSS","36R","W107",759,750,828,20140226,479,508,"29",2,26,2434,609,1,33,0
"140",140,140,"CCA1461","ZBAA","ZUGY","36R","553",756,750,833,20140226,476,513,"37",2,26,2435,609,1,33,0
"144",144,144,"CSC8896","ZBAA","ZUUU","36R","322",802,800,832,20140226,482,512,"30",2,26,2435,609,1,33,0
"145",145,145,"CCA1361","ZBAA","ZJHK","36R","336",823,825,835,20140226,503,515,"12",2,26,2435,609,1,33,0
"146",146,146,"CHH7771","ZBAA","ZSAM","36R","104",746,745,813,20140226,466,493,"27",2,26,2433,609,1,33,0
"147",147,147,"CCA1147","ZBAA","ZBYZ","36R","311",751,750,815,20140226,471,495,"24",2,26,2434,609,1,33,0
"151",151,151,"CES5102","ZBAA","ZSSS","36R","224",759,800,817,20140226,479,497,"18",2,26,2434,609,1,33,0
"153",153,153,"CSN3256","ZBAA","ZSGZ","36R","702",759,755,823,20140226,479,503,"24",2,26,2434,609,1,33,0
"155",155,155,"CCA1369","ZBAA","ZJSY","36R","303",750,745,820,20140226,470,500,"30",2,26,2434,609,1,33,0
"158",158,158,"CCA1405","ZBAA","ZUUU","36R","331",757,800,824,20140226,477,504,"27",2,26,2434,609,1,33,0
"160",160,160,"CHH7191","ZBAA","ZSAM","36R","W208",941,935,1000,20140225,581,600,"19",2,25,2345,587,0,23,0
"161",161,161,"KAL830","ZBAA","RKPK","36R","206",946,950,958,20140225,586,598,"12",2,25,2344,586,1,28,1
"162",162,162,"GDC7129","ZBAA","ZYHB","36R","115",947,945,1002,20140225,587,602,"15",2,25,2345,587,0,23,0
"163",163,163,"CNM1121","ZBAA","ZBOW","36R","320",1000,955,1004,20140225,600,604,"4",2,25,2345,587,0,23,0
"164",164,164,"CES5106","ZBAA","ZSSS","36R","219",958,955,1005,20140225,598,605,"7",2,25,2345,587,0,23,0
"165",165,165,"CPA347","ZBAA","VHHH","36R","521",956,1000,1008,20140225,596,608,"12",2,25,2345,587,0,23,0
"166",166,166,"CCA1901","ZBAA","ZWWW","36R","332",932,930,945,20140225,572,585,"13",2,25,2344,586,1,28,1
"167",167,167,"CHH7225","ZBAA","ZSWF","36R","108",931,720,946,20140225,571,586,"15",2,25,2344,586,1,28,1
"170",170,170,"CCA1367","ZBAA","ZGSZ","36R","303",938,930,954,20140225,578,594,"16",2,25,2344,586,1,28,1
"172",172,172,"VPCKM","ZBAA","LDZA","36R","628",933,900,956,20140225,573,596,"23",2,25,2344,586,1,28,1
