"X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","flight_chosen_dep_01"
2,"AAL186","ZBAA","KORD","1","521",1008,1010,1020,20140228,608,620,"12",2,28,0
17,"CCA1839","ZBAA","ZSNB","1","312",955,955,957,20140228,595,597,"2",2,28,1
18,"CDG4652","ZBAA","ZSQD","1","315",955,955,1000,20140228,595,600,"5",2,28,0
22,"CDG1158","ZBAA","ZSJN","1","317",958,940,1003,20140228,598,603,"5",2,28,0
23,"CCA162W","ZBAA","ZYHB","1","302",1013,1000,1026,20140226,613,626,"13",2,26,1
31,"CDG4652","ZBAA","ZSQD","1","310",954,955,1015,20140226,594,615,"21",2,26,1
34,"AAL186","ZBAA","KORD","1","521",1006,1010,1021,20140226,606,621,"15",2,26,1
39,"CCD890X","ZBAA","ZYTL","1","359",952,830,1005,20140226,592,605,"13",2,26,1
45,"CCA1839","ZBAA","ZSNB","1","306",953,950,1008,20140226,593,608,"15",2,26,1
47,"CCA1519","ZBAA","ZSSS","1","308",938,930,957,20140226,578,597,"19",2,26,1
50,"CDG1158","ZBAA","ZSJN","1","318",946,940,1002,20140226,586,602,"16",2,26,1
61,"CCD890R","ZBAA","ZYTL","1","317",941,730,954,20140226,581,594,"13",2,26,1
66,"CCA163Q","ZBAA","ZYHB","1","360",914,900,938,20140226,554,578,"24",2,26,1
67,"LOT092","ZBAA","EPWA","1","514",905,845,935,20140226,545,575,"30",2,26,1
69,"CCA1579","ZBAA","ZSNT","1","465",928,925,941,20140226,568,581,"13",2,26,1
71,"CDG4852","ZBAA","ZSYT","1","311",929,935,944,20140226,569,584,"15",2,26,1
75,"CCA1643","ZBAA","ZYHB","1","314",908,855,928,20140226,548,568,"20",2,26,1
77,"CCA1595","ZBAA","ZSHC","1","312",914,905,934,20140226,554,574,"20",2,26,1
78,"CCA1879","ZBAA","ZSYW","1","561",856,850,925,20140226,536,565,"29",2,26,1
80,"ANA956","ZBAA","RJAA","1","527",856,855,931,20140226,536,571,"35",2,26,1
84,"CCA123","ZBAA","RKSI","1","512",850,845,921,20140226,530,561,"31",2,26,1
87,"CCA927","ZBAA","RJBB","1","506",850,840,918,20140226,530,558,"28",2,26,1
90,"CCA1817","ZBAA","ZSNJ","1","404",855,850,924,20140226,535,564,"29",2,26,1
96,"CCA1841","ZBAA","ZSYA","1","454",849,840,912,20140226,529,552,"23",2,26,1
98,"CCA1835","ZBAA","ZSPD","1","305",853,800,903,20140226,533,543,"10",2,26,1
103,"CCA185","ZBAA","RCTP","1","508",843,830,855,20140226,523,535,"12",2,26,0
106,"CCA1651","ZBAA","ZYTX","1","318",848,840,859,20140226,528,539,"11",2,26,0
111,"CCA1255","ZBAA","ZSOF","1","356",849,840,907,20140226,529,547,"18",2,26,1
114,"CCA129","ZBAA","RKPK","1","505",829,825,850,20140226,509,530,"21",2,26,0
118,"CCA1501","ZBAA","ZSSS","1","301",837,830,853,20140226,517,533,"16",2,26,0
122,"CCA181","ZBAA","RJTT","1","517",842,835,857,20140226,522,537,"15",2,26,0
125,"JAL860","ZBAA","RJAA","1","518",826,825,841,20140226,506,521,"15",2,26,0
132,"CCA1337","ZBAA","ZGSZ","1","409",828,830,845,20140226,508,525,"17",2,26,0
137,"CCA1805","ZBAA","ZSGS","1","403",811,815,827,20140226,491,507,"16",2,26,0
141,"CCD1809","ZBAA","ZSAM","1","358",817,815,831,20140226,497,511,"14",2,26,0
142,"CCA1827","ZBAA","ZSWH","1","459",827,715,833,20140226,507,513,"6",2,26,0
152,"CCA1351","ZBAA","ZGGG","1","337",807,805,816,20140226,487,496,"9",2,26,0
168,"CCA1827","ZBAA","ZSWH","1","313",941,715,950,20140225,581,590,"9",2,25,1
171,"CCA1839","ZBAA","ZSNB","1","318",953,955,956,20140225,593,596,"3",2,25,1
173,"CCA123","ZBAA","RKSI","1","514",931,845,953,20140225,571,593,"22",2,25,1
177,"CDG4852","ZBAA","ZSYT","1","315",934,935,944,20140225,574,584,"10",2,25,1
180,"CCA1519","ZBAA","ZSSS","1","302",933,930,945,20140225,573,585,"12",2,25,1
185,"CCA106A","ZBAA","ZYTL","1","515",916,900,928,20140225,556,568,"12",2,25,1
190,"CDG1158","ZBAA","ZSJN","1","309",931,940,937,20140225,571,577,"6",2,25,1
192,"CCA1595","ZBAA","ZSHC","1","304",910,905,920,20140225,550,560,"10",2,25,1
194,"CCA1643","ZBAA","ZYHB","1","311",853,855,918,20140225,533,558,"25",2,25,1
197,"CCA925","ZBAA","RJAA","1","501",910,910,921,20140225,550,561,"11",2,25,1
198,"CCA1579","ZBAA","ZSNT","1","312",918,925,925,20140225,558,565,"7",2,25,1
203,"CCA1817","ZBAA","ZSNJ","1","406",853,850,907,20140225,533,547,"14",2,25,1
204,"CCA953","ZBAA","ZYTL","1","458",848,840,910,20140225,528,550,"22",2,25,1
205,"CCA1651","ZBAA","ZYTX","1","560",849,840,909,20140225,529,549,"20",2,25,1
211,"ANA956","ZBAA","RJAA","1","527",848,855,916,20140225,528,556,"28",2,25,1
212,"CCA1255","ZBAA","ZSOF","1","322",843,840,858,20140225,523,538,"15",2,25,0
214,"SIA805","ZBAA","WSSS","1","511",845,845,900,20140225,525,540,"15",2,25,1
218,"CCA1879","ZBAA","ZSYW","1","355",849,850,902,20140225,529,542,"13",2,25,1
221,"CCA1603","ZBAA","ZYHB","1","318",851,735,905,20140225,531,545,"14",2,25,1
222,"CCA185","ZBAA","RCTP","1","516",839,830,849,20140225,519,529,"10",2,25,0
229,"CCA1841","ZBAA","ZSYA","1","317",840,840,853,20140225,520,533,"13",2,25,0
230,"CCA181","ZBAA","RJTT","1","502",842,835,856,20140225,522,536,"14",2,25,0
232,"CCA927","ZBAA","RJBB","1","522",836,840,855,20140225,516,535,"19",2,25,0
240,"CCA1805","ZBAA","ZSGS","1","402",829,815,842,20140225,509,522,"13",2,25,0
242,"CCA1835","ZBAA","ZSPD","1","310",840,800,846,20140225,520,526,"6",2,25,0
247,"JAL860","ZBAA","RJAA","1","518",824,825,832,20140225,504,512,"8",2,25,0
254,"CCA1501","ZBAA","ZSSS","1","308",834,830,839,20140225,514,519,"5",2,25,0
257,"CCD1809","ZBAA","ZSAM","1","329",811,815,828,20140225,491,508,"17",2,25,0
260,"CDG1198","ZBAA","ZSJJ","1","452",804,755,824,20140225,484,504,"20",2,25,0
274,"CCA1351","ZBAA","ZGGG","1","307",806,805,810,20140225,486,490,"4",2,25,0
283,"HDA905","ZBAA","VHHH","1","526",754,800,804,20140225,474,484,"10",2,25,0
289,"CCA1509","ZBAA","ZSHC","1","306",754,755,806,20140225,474,486,"12",2,25,0
291,"CCA1609","ZBAA","ZYCC","1","466",802,755,808,20140225,482,488,"6",2,25,0
296,"CCA1567","ZBAA","ZSWZ","1","309",749,745,754,20140225,469,474,"5",2,25,0
299,"HDA937","ZBAA","VHHH","1","525",746,740,758,20140225,466,478,"12",2,25,0
300,"CCA1505","ZBAA","ZSFZ","1","465",751,745,800,20140225,471,480,"9",2,25,0
304,"CCD893V","ZBAA","ZYTL","1","459",750,630,756,20140225,470,476,"6",2,25,0
305,"CCA1831","ZBAA","ZSSS","1","301",734,730,746,20140225,454,466,"12",2,25,0
307,"CCA1285","ZBAA","ZYCY","1","315",736,730,747,20140225,456,467,"11",2,25,0
310,"CCA1569","ZBAA","ZSQD","1","404",737,730,749,20140225,457,469,"12",2,25,0
313,"CCA1683","ZBAA","ZYDQ","1","555",729,725,751,20140225,449,471,"22",2,25,0
337,"CCA925","ZBAA","RJAA","1","524",912,910,936,20140224,552,576,"24",2,24,1
346,"CCA1879","ZBAA","ZSYW","1","565",856,850,923,20140224,536,563,"27",2,24,1
347,"CCA1643","ZBAA","ZYHB","1","403",855,855,924,20140224,535,564,"29",2,24,1
349,"CCA1595","ZBAA","ZSHC","1","314",914,905,927,20140224,554,567,"13",2,24,1
354,"SIA805","ZBAA","WSSS","1","513",847,845,911,20140224,527,551,"24",2,24,1
361,"ANA956","ZBAA","RJAA","1","527",849,855,918,20140224,529,558,"29",2,24,1
364,"CCA123","ZBAA","RKSI","1","516",851,845,916,20140224,531,556,"25",2,24,1
365,"JAL860","ZBAA","RJAA","1","518",844,825,909,20140224,524,549,"25",2,24,1
366,"CCA953","ZBAA","ZYTL","1","360",851,840,900,20140224,531,540,"9",2,24,1
372,"CCA1817","ZBAA","ZSNJ","1","311",853,850,905,20140224,533,545,"12",2,24,1
379,"CCA927","ZBAA","RJBB","1","534",840,840,854,20140224,520,534,"14",2,24,0
