"X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","所走航路","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_may_15_per_dep","arr_may_15_per_dep","dep_may_60_per_dep","arr_may_60_per_dep","pb_may_15_per_dep","pb_may_60_per_dep"
68526,"CDG1152","ZBAA","ZSJN","1",2,1918,1920,1926,"LAD8E",20140526,1158,1166,8,5,26,12,10,49,44,17,41
68527,"CCA107","ZBAA","VHHH","36R",6,1908,1830,1928,"REN32D",20140526,1148,1168,20,5,26,12,10,49,44,17,41
68528,"VPBEX","ZBAA","VRMM","36L",29,1913,1600,1928,"REN8AL",20140526,1153,1168,15,5,26,12,10,49,44,17,41
68529,"CES5130","ZBAA","ZSPD","36R",22,1906,1900,1929,"LAD8AR",20140526,1146,1169,23,5,26,12,10,49,44,17,41
68530,"CCA1139","ZBAA","ZBYC","36R",3,1906,1910,1931,"SOS8BR",20140526,1146,1171,25,5,26,14,11,49,44,9,41
68531,"CSN3862","ZBAA","ZGOW","36R",21,1910,1735,1934,"LAD8AR",20140526,1150,1174,24,5,26,14,11,49,44,9,41
68532,"CSZ9832","ZBAA","ZGSZ","36R",3,1917,1905,1932,"REN32D",20140526,1157,1172,15,5,26,14,11,49,44,9,41
68533,"CAL592","ZBAA","RCKH","1",7,1902,1855,1918,"LAD8E",20140526,1142,1158,16,5,26,12,10,49,44,17,41
68534,"CSN315","ZBAA","RKSI","36R",20,1902,1910,1918,"TON8AR",20140526,1142,1158,16,5,26,12,10,49,44,17,41
68535,"CCA1309","ZBAA","ZGGG","36R",8,1851,1800,1919,"REN8BR",20140526,1131,1159,28,5,26,12,10,49,44,17,41
68536,"CCA1706","ZBAA","ZSHC","1",1,1916,1850,1921,"LAD8E",20140526,1156,1161,5,5,26,12,10,49,44,17,41
68537,"CES5120","ZBAA","ZSSS","36R",21,1905,1700,1921,"LAD8AR",20140526,1145,1161,16,5,26,12,10,49,44,17,41
68538,"CSN3654","ZBAA","ZUGY","36L",22,1911,1915,1919,"SOS8AL",20140526,1151,1159,8,5,26,12,10,49,44,17,41
68539,"CCA1359","ZBAA","ZGDY","36R",3,1854,1835,1923,"REN32D",20140526,1134,1163,29,5,26,12,10,49,44,17,41
68540,"KAL830","ZBAA","RKPK","1",20,1841,1835,1909,"TON8B",20140526,1121,1149,28,5,26,11,13,49,44,10,41
68541,"CXA8106","ZBAA","ZSAM","36R",18,1841,1825,1910,"LAD8AR",20140526,1121,1150,29,5,26,11,13,49,44,10,41
68542,"CCA4144","ZBAA","ZUCK","36R",6,1841,1830,1912,"SOS32D",20140526,1121,1152,31,5,26,11,13,49,44,10,41
68543,"CSN6150","ZBAA","ZYCC","36R",21,1846,1840,1914,"YV8AR",20140526,1126,1154,28,5,26,11,13,49,44,10,41
68544,"CCA1855","ZBAA","ZSSS","1",10,1852,1730,1913,"LAD8E",20140526,1132,1153,21,5,26,11,13,49,44,10,41
68545,"CSN6716","ZBAA","ZJSY","36L",22,1901,1900,1912,"REN8AL",20140526,1141,1152,11,5,26,11,13,49,44,10,41
68546,"ACA032","ZBAA","CYYZ","36R",8,1837,1805,1915,"YV8AR",20140526,1117,1155,38,5,26,12,10,49,44,17,41
68547,"CCA4110","ZBAA","ZUUU","36R",4,1859,1900,1903,"SOS8BR",20140524,1139,1143,4,5,24,11,12,44,40,12,41
68548,"CCA1305","ZBAA","ZGSZ","36R",4,1854,1835,1904,"REN8BR",20140524,1134,1144,10,5,24,11,12,44,40,12,41
68549,"CXA8122","ZBAA","ZSWY","36R",21,1859,1810,1906,"LAD8AR",20140524,1139,1146,7,5,24,11,12,44,40,12,41
68550,"CXA8172","ZBAA","ZSFZ","36R",22,1839,1740,1901,"LAD8AR",20140524,1119,1141,22,5,24,11,12,44,40,12,41
68551,"CCA107","ZBAA","VHHH","36R",6,1838,1830,1851,"REN32D",20140524,1118,1131,13,5,24,9,10,37,44,8,35
68552,"CCA1359","ZBAA","ZGDY","36R",2,1829,1835,1849,"REN32D",20140524,1109,1129,20,5,24,9,10,37,44,8,35
68553,"CES2416","ZBAA","ZLLL","36L",22,1843,1845,1850,"SOS8AL",20140524,1123,1130,7,5,24,9,10,37,44,8,35
68554,"CCA1551","ZBAA","ZSTX","1",5,1837,1835,1855,"LAD8E",20140524,1117,1135,18,5,24,9,10,37,44,8,35
68555,"CES5120","ZBAA","ZSSS","36R",21,1844,1700,1856,"LAD8AR",20140524,1124,1136,12,5,24,9,10,37,44,8,35
68556,"CCA137","ZBAA","RKSS","1",5,1849,1845,1853,"TON8B",20140524,1129,1133,4,5,24,9,10,37,44,8,35
68557,"CCA1811","ZBAA","ZSWZ","1",1,1856,1755,1900,"LAD8E",20140524,1136,1140,4,5,24,11,12,44,40,12,41
68558,"CCA1593","ZBAA","ZSYT","1",1,1849,1840,1858,"TON8B",20140524,1129,1138,9,5,24,9,10,37,44,8,35
68559,"UAL898","ZBAA","KIAD","1",9,1847,1825,1903,"YV8C",20140524,1127,1143,16,5,24,11,12,44,40,12,41
68560,"CCA1503","ZBAA","ZSNJ","1",5,1843,1745,1851,"LAD8E",20140524,1123,1131,8,5,24,9,10,37,44,8,35
68561,"CCA4144","ZBAA","ZUCK","36R",6,1828,1830,1834,"SOS8BR",20140524,1108,1114,6,5,24,7,11,37,44,8,35
68562,"CSN3862","ZBAA","ZGOW","36R",22,1817,1735,1832,"LAD8AR",20140524,1097,1112,15,5,24,7,11,37,44,8,35
68563,"CSN6150","ZBAA","ZYCC","36R",22,1829,1840,1837,"YV8AR",20140524,1109,1117,8,5,24,7,11,37,44,8,35
68564,"CCA1261","ZBAA","ZLXN","36R",4,1838,1840,1841,"SOS8BR",20140524,1118,1121,3,5,24,7,11,37,44,8,35
68565,"CES5194","ZBAA","ZSQD","36R",22,1826,1825,1835,"TON8AR",20140524,1106,1115,9,5,24,7,11,37,44,8,35
68566,"KAL830","ZBAA","RKPK","36R",20,1836,1835,1846,"TON8AR",20140524,1116,1126,10,5,24,9,10,37,44,8,35
68567,"CSC8888","ZBAA","ZUUU","36R",3,1819,1725,1826,"SOS8BR",20140524,1099,1106,7,5,24,10,11,37,44,11,35
68568,"MGL224","ZBAA","ZMUB","36R",12,1815,1730,1824,"YV8AR",20140524,1095,1104,9,5,24,10,11,37,44,11,35
68569,"CCA1309","ZBAA","ZGGG","36R",4,1817,1800,1830,"REN8BR",20140524,1097,1110,13,5,24,7,11,37,44,8,35
68570,"FDX92","ZBAA","RKSI","36R",29,1815,1815,1828,"TON8AR",20140524,1095,1108,13,5,24,10,11,37,44,11,35
68571,"ACA032","ZBAA","CYYZ","1",7,1814,1805,1825,"YV8C",20140524,1094,1105,11,5,24,10,11,37,44,11,35
68572,"CSN6948","ZBAA","ZLXY","36L",18,1828,1820,1835,"SOS8AL",20140524,1108,1115,7,5,24,7,11,37,44,8,35
68573,"CCA1455","ZBAA","ZUMY","36R",3,1802,1810,1813,"SOS8BR",20140524,1082,1093,11,5,24,11,12,37,44,8,35
68574,"CCA183","ZBAA","RJTT","36R",12,1759,1710,1814,"TON8AR",20140524,1079,1094,15,5,24,11,12,37,44,8,35
68575,"CCA1681","ZBAA","ZYMD","1",2,1805,1805,1817,"CDY8B",20140524,1085,1097,12,5,24,10,11,37,44,11,35
68576,"CES5188","ZBAA","ZSCN","36R",22,1812,1815,1823,"LAD8AR",20140524,1092,1103,11,5,24,10,11,37,44,11,35
68577,"CES5706","ZBAA","ZPPP","36L",18,1815,1815,1821,"SOS8AL",20140524,1095,1101,6,5,24,10,11,37,44,11,35
68578,"CCA1815","ZBAA","ZSAM","1",2,1759,1625,1820,"LAD8E",20140524,1079,1100,21,5,24,10,11,37,44,11,35
68579,"CES2673","ZBAA","ZYCC","36R",22,1804,1805,1816,"YV32D",20140524,1084,1096,12,5,24,10,11,37,44,11,35
68580,"CSC8832","ZBAA","ZUCK","36R",3,1801,1800,1808,"SOS8BR",20140524,1081,1088,7,5,24,11,12,37,44,8,35
68581,"CCA4104","ZBAA","ZUUU","36R",4,1759,1800,1806,"SOS8BR",20140524,1079,1086,7,5,24,11,12,37,44,8,35
68582,"CSN6106","ZBAA","ZYTX","36R",21,1757,1805,1805,"CDY8AR",20140524,1077,1085,8,5,24,11,12,37,44,8,35
68583,"CHH7177","ZBAA","ZSHC","36R",25,1758,1800,1811,"LAD8AR",20140524,1078,1091,13,5,24,11,12,37,44,8,35
68584,"CES2781","ZBAA","ZYJX","36R",18,1757,1800,1809,"CDY8AR",20140524,1077,1089,12,5,24,11,12,37,44,8,35
68585,"CHH7929","ZBAA","VTSP","36L",26,1801,1810,1812,"REN8AL",20140524,1081,1092,11,5,24,11,12,37,44,8,35
68586,"CES2116","ZBAA","ZLXY","36L",18,1807,1755,1815,"SOS8AL",20140524,1087,1095,8,5,24,10,11,37,44,11,35
68587,"CCA1855","ZBAA","ZSSS","1",1,1737,1730,1753,"LAD8E",20140524,1057,1073,16,5,24,11,13,38,50,12,41
68588,"CCA1869","ZBAA","ZSLQ","36R",3,1752,1750,1757,"LAD8AR",20140524,1072,1077,5,5,24,11,13,38,50,12,41
68589,"CCA823","ZBAA","VTCC","36R",7,1748,1740,1758,"SOS8BR",20140524,1068,1078,10,5,24,11,13,38,50,12,41
68590,"CXA8114","ZBAA","ZSQZ","36R",21,1640,1615,1800,"LAD8AR",20140524,1000,1080,80,5,24,11,12,37,44,8,35
68591,"CHH7701","ZBAA","ZGSZ","36L",24,1748,1710,1802,"REN8AL",20140524,1068,1082,14,5,24,11,12,37,44,8,35
68592,"CHH7601","ZBAA","ZSSS","36R",26,1750,1745,1802,"LAD8AR",20140524,1070,1082,12,5,24,11,12,37,44,8,35
68593,"CCA1363","ZBAA","ZGHA","36R",6,1738,1740,1755,"REN8BR",20140524,1058,1075,17,5,24,11,13,38,50,12,41
68594,"CCA1111","ZBAA","ZBHH","36R",2,1739,1735,1747,"SOS8BR",20140524,1059,1067,8,5,24,11,13,38,50,12,41
68595,"CCA117","ZBAA","VHHH","36R",7,1736,1730,1745,"REN8BR",20140524,1056,1065,9,5,24,11,13,38,50,12,41
68596,"CHH7287","ZBAA","ZLYL","36L",25,1745,2000,1750,"SOS8AL",20140524,1065,1070,5,5,24,11,13,38,50,12,41
68597,"CES5298","ZBAA","ZBYN","36L",22,1739,1735,1748,"REN8AL",20140524,1059,1068,9,5,24,11,13,38,50,12,41
68598,"CSN3122","ZBAA","ZGGG","36R",21,1732,1730,1749,"REN8BR",20140524,1052,1069,17,5,24,11,13,38,50,12,41
68599,"CCA161","ZBAA","RJBB","1",5,1738,1625,1750,"TON8B",20140524,1058,1070,12,5,24,11,13,38,50,12,41
68600,"CDG4654","ZBAA","ZSQD","1",2,1751,1520,1756,"TON8B",20140524,1071,1076,5,5,24,11,13,38,50,12,41
68601,"CCA8205","ZBAA","ZHHH","36R",6,1724,1725,1733,"REN32D",20140524,1044,1053,9,5,24,7,13,38,50,11,41
68602,"CCA4142","ZBAA","ZUCK","36R",6,1730,1730,1735,"SOS8BR",20140524,1050,1055,5,5,24,7,13,38,50,11,41
68603,"CSN6220","ZBAA","ZYHB","36R",22,1731,1725,1738,"YV8AR",20140524,1051,1058,7,5,24,7,13,38,50,11,41
68604,"CCD8906","ZBAA","ZYTL","1",2,1730,1635,1737,"TON8B",20140524,1050,1057,7,5,24,7,13,38,50,11,41
68605,"CCA1539","ZBAA","ZSWZ","1",2,1735,1610,1741,"LAD8E",20140524,1055,1061,6,5,24,7,13,38,50,11,41
68606,"CCA1823","ZBAA","ZHYC","36R",1,1713,1720,1724,"REN8BR",20140524,1033,1044,11,5,24,11,13,38,50,6,41
68607,"CES743","ZBAA","ZSQD","36R",13,1721,1515,1727,"TON8AR",20140524,1041,1047,6,5,24,11,13,38,50,6,41
68608,"CCA159","ZBAA","RJGG","1",5,1715,1700,1726,"TON8B",20140524,1035,1046,11,5,24,11,13,38,50,6,41
68609,"THA615","ZBAA","VTBS","36R",8,1711,1705,1725,"REN8BR",20140524,1031,1045,14,5,24,11,13,38,50,6,41
68610,"CSN6134","ZBAA","ZYTL","36R",21,1719,1720,1731,"TON8AR",20140524,1039,1051,12,5,24,7,13,38,50,11,41
68611,"CCA1135","ZBAA","ZBOW","36R",2,1721,1720,1729,"SOS8BR",20140524,1041,1049,8,5,24,11,13,38,50,6,41
68612,"CCA1123","ZBAA","ZBTL","1",6,1718,1710,1730,"YV8C",20140524,1038,1050,12,5,24,7,13,38,50,11,41
68613,"CCA1825","ZBAA","ZSCG","1",5,1714,1715,1721,"LAD8E",20140524,1034,1041,7,5,24,11,13,38,50,6,41
68614,"DAL188","ZBAA","KDTW","36R",21,1701,1650,1712,"YV8AR",20140524,1021,1032,11,5,24,9,11,38,50,12,41
68615,"CES2114","ZBAA","ZLXY","36L",22,1702,1705,1713,"SOS8AL",20140524,1022,1033,11,5,24,9,11,38,50,12,41
68616,"CSN679","ZBAA","ZWWW","36L",18,1708,1705,1720,"SOS8AL",20140524,1028,1040,12,5,24,11,13,38,50,6,41
68617,"CCA821","ZBAA","VTSP","36R",7,1709,1710,1720,"REN32D",20140524,1029,1040,11,5,24,11,13,38,50,6,41
68618,"AAR336","ZBAA","RKSI","36R",9,1709,1710,1716,"TON8AR",20140524,1029,1036,7,5,24,11,13,38,50,6,41
68619,"CSN3961","ZBAA","ZGSZ","36L",22,1713,1700,1722,"REN8AL",20140524,1033,1042,9,5,24,11,13,38,50,6,41
68620,"CES5458","ZBAA","ZSHC","36R",22,1711,1705,1722,"LAD8AR",20140524,1031,1042,11,5,24,11,13,38,50,6,41
68621,"TBA9862","ZBAA","ZLIC","36R",4,1705,1705,1709,"SOS8BR",20140524,1025,1029,4,5,24,9,11,38,50,12,41
68622,"CCD1611","ZBAA","ZYHB","36R",4,1656,1700,1704,"YV8AR",20140524,1016,1024,8,5,24,9,11,38,50,12,41
68623,"CES5661","ZBAA","ZYHB","36R",22,1651,1405,1701,"YV8AR",20140524,1011,1021,10,5,24,9,11,38,50,12,41
68624,"JAL22","ZBAA","RJTT","1",11,1643,1640,1704,"TON8B",20140524,1003,1024,21,5,24,9,11,38,50,12,41
68625,"SIA807","ZBAA","WSSS","36R",8,1646,1635,1706,"REN8BR",20140524,1006,1026,20,5,24,9,11,38,50,12,41
68626,"AAR316","ZBAA","RKPK","1",12,1654,1650,1706,"TON8B",20140524,1014,1026,12,5,24,9,11,38,50,12,41
