"","dep_window_15"
"1",42
"2",42
"3",42
"4",42
"5",42
"6",42
"7",42
"8",42
"9",41
"10",41
"11",41
"12",41
"13",42
"14",40
"15",40
"16",41
"17",40
"18",41
"19",41
"20",40
"21",41
"22",41
"23",42
"24",42
"25",43
"26",42
"27",42
"28",42
"29",43
"30",43
"31",42
"32",42
"33",42
"34",42
"35",42
"36",42
"37",42
"38",42
"39",41
"40",41
"41",41
"42",41
"43",41
"44",41
"45",41
"46",41
"47",40
"48",41
"49",41
"50",41
"51",40
"52",41
"53",41
"54",39
"55",40
"56",40
"57",40
"58",40
"59",40
"60",40
"61",40
"62",40
"63",39
"64",39
"65",39
"66",39
"67",39
"68",39
"69",39
"70",39
"71",39
"72",38
"73",39
"74",38
"75",38
"76",39
"77",39
"78",38
"79",39
"80",39
"81",38
"82",38
"83",38
"84",38
"85",38
"86",38
"87",38
"88",38
"89",38
"90",38
"91",37
"92",37
"93",37
"94",37
"95",37
"96",37
"97",37
"98",37
"99",37
"100",37
"101",37
"102",36
"103",36
"104",36
"105",37
"106",36
"107",36
"108",37
"109",36
"110",37
"111",37
"112",37
"113",36
"114",36
"115",36
"116",36
"117",36
"118",36
"119",36
"120",36
"121",36
"122",36
"123",35
"124",35
"125",35
"126",35
"127",35
"128",35
"129",35
"130",36
"131",35
"132",36
"133",35
"134",34
"135",34
"136",35
"137",34
"138",35
"139",34
"140",35
"141",35
"142",35
"143",35
"144",35
"145",35
"146",33
"147",34
"148",34
"149",34
"150",33
"151",34
"152",34
"153",34
"154",34
"155",34
"156",34
"157",34
"158",34
"159",40
"160",41
"161",40
"162",41
"163",41
"164",41
"165",41
"166",40
"167",40
"168",40
"169",40
"170",40
"171",40
"172",40
"173",40
"174",39
"175",39
"176",39
"177",39
"178",39
"179",40
"180",40
"181",40
"182",38
"183",38
"184",38
"185",38
"186",38
"187",39
"188",39
"189",39
"190",39
"191",39
"192",38
"193",38
"194",38
"195",38
"196",38
"197",38
"198",38
"199",38
"200",38
"201",38
"202",37
"203",37
"204",37
"205",37
"206",37
"207",37
"208",37
"209",37
"210",37
"211",38
"212",36
"213",36
"214",37
"215",37
"216",37
"217",37
"218",37
"219",37
"220",37
"221",37
"222",36
"223",36
"224",36
"225",36
"226",36
"227",36
"228",36
"229",36
"230",36
"231",36
"232",36
"233",36
"234",35
"235",35
"236",36
"237",35
"238",35
"239",35
"240",35
"241",36
"242",36
"243",36
"244",36
"245",35
"246",35
"247",35
"248",35
"249",34
"250",35
"251",35
"252",35
"253",35
"254",35
"255",35
"256",35
"257",34
"258",34
"259",34
"260",34
"261",34
"262",34
"263",34
"264",34
"265",34
"266",34
"267",34
"268",34
"269",34
"270",33
"271",33
"272",33
"273",33
"274",33
"275",34
"276",33
"277",33
"278",34
"279",34
"280",34
"281",33
"282",33
"283",33
"284",33
"285",33
"286",33
"287",33
"288",33
"289",33
"290",33
"291",33
"292",33
"293",32
"294",32
"295",32
"296",32
"297",33
"298",33
"299",32
"300",33
"301",32
"302",32
"303",32
"304",32
"305",32
"306",32
"307",32
"308",32
"309",32
"310",32
"311",32
"312",32
"313",32
"314",32
"315",32
"316",32
"317",31
"318",31
"319",31
"320",31
"321",31
"322",31
"323",31
"324",32
"325",30
"326",30
"327",30
"328",30
"329",30
"330",30
"331",30
"332",30
"333",30
"334",31
"335",30
"336",31
"337",39
"338",39
"339",39
"340",39
"341",39
"342",39
"343",38
"344",38
"345",38
"346",38
"347",38
"348",38
"349",38
"350",38
"351",38
"352",39
"353",38
"354",37
"355",37
"356",37
"357",37
"358",38
"359",37
"360",37
"361",38
"362",38
"363",38
"364",38
"365",37
"366",37
"367",37
"368",37
"369",37
"370",37
"371",37
"372",37
"373",37
"374",37
"375",37
"376",37
"377",36
"378",36
"379",36
"380",36
"381",36
"382",36
"383",36
"384",36
"385",37
"386",37
"387",37
"388",36
"389",36
"390",36
"391",36
"392",36
"393",36
"394",36
"395",36
"396",36
"397",36
"398",36
"399",36
"400",36
"401",35
"402",35
"403",35
"404",35
"405",35
"406",35
"407",35
"408",35
"409",35
"410",35
"411",35
"412",35
"413",35
"414",34
"415",35
"416",35
"417",35
"418",35
"419",35
"420",35
"421",35
"422",35
"423",35
"424",35
"425",34
"426",34
"427",34
"428",34
"429",34
"430",34
"431",34
"432",34
