"X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_full_date","time_wheelon_real","time_gatein","arr_taxi","mission_month","mission_date","dep_mar_15_per_arr","arr_mar_15_per_arr","dep_mar_60_per_arr","arr_mar_60_per_arr","pb_mar_15_per_arr","pb_mar_60_per_arr","heavy_mar_per_arr"
21783,"JAL863","RJAA","ZBAA","1","517",1401,1400,1403,20140330,840,843,3,3,30,9,10,42,44,14,8,1
21784,"CHH7636","ZGHA","ZBAA","36L","W207",1400,1359,1403,20140330,839,843,4,3,30,13,12,52,41,12,8,1
21785,"CES5109","ZSSS","ZBAA","36R","220",1403,1403,1405,20140330,843,845,2,3,30,9,10,42,44,14,8,1
21786,"CHH7278","ZSHC","ZBAA","36L","107",1402,1401,1407,20140330,841,847,6,3,30,9,10,42,44,14,8,1
21787,"CSN3908","ZSSS","ZBAA","36L","232",1405,1404,1410,20140330,844,850,6,3,30,9,10,42,44,14,8,1
21788,"CES5167","ZSHC","ZBAA","36R","803",1406,1406,1410,20140330,846,850,4,3,30,9,10,42,44,14,8,1
21789,"CCA1460","ZUYB","ZBAA","36R","319",1410,1410,1414,20140330,850,854,4,3,30,9,10,42,44,14,8,1
21790,"CHH7148","ZUUU","ZBAA","36L","W208",1408,1408,1412,20140330,848,852,4,3,30,9,10,42,44,14,8,1
21791,"CCA1806","ZSGS","ZBAA","1","315",1359,1357,1403,20140330,837,843,6,3,30,13,12,52,41,12,8,1
21792,"CHH7110","ZHYC","ZBAA","36L","114",1353,1352,1358,20140330,832,838,6,3,30,13,12,52,41,12,8,1
21793,"N79XL","ZJSY","ZBAA","36L","627",1348,1348,1401,20140330,828,841,13,3,30,13,12,52,41,12,8,1
21794,"CES2107","ZLXY","ZBAA","36L","239",1355,1355,1401,20140330,835,841,6,3,30,13,12,52,41,12,8,1
21795,"CCA1290","ZLXY","ZBAA","36R","305",1351,1350,1359,20140330,830,839,9,3,30,13,12,52,41,12,8,1
21796,"CCA1502","ZSSS","ZBAA","1","302",1352,1351,1359,20140330,831,839,8,3,30,13,12,52,41,12,8,1
21797,"AAR333","RKSI","ZBAA","1","511",1354,1353,1359,20140330,833,839,6,3,30,13,12,52,41,12,8,1
21798,"CCA130","RKPK","ZBAA","36R","460",1357,1357,1403,20140330,837,843,6,3,30,13,12,52,41,12,8,1
21799,"UAL897","KIAD","ZBAA","1","531",1328,1327,1344,20140330,807,824,17,3,30,12,9,52,41,14,8,1
21800,"CCA1296","ZWWW","ZBAA","1","323",1338,1337,1345,20140330,817,825,8,3,30,13,9,52,41,15,8,1
21801,"CCA1132","ZBLA","ZBAA","1","",1341,1340,1347,20140330,820,827,7,3,30,13,9,52,41,15,8,1
21802,"CXA8101","ZSAM","ZBAA","36L","233",1344,1345,1350,20140330,825,830,5,3,30,13,12,52,41,12,8,1
21803,"CSC8885","ZUUU","ZBAA","36R","337",1343,1342,1349,20140330,822,829,7,3,30,13,9,52,41,15,8,1
21804,"CES744","ZSQD","ZBAA","36R","801",1346,1346,1349,20140330,826,829,3,3,30,13,12,52,41,12,8,1
21805,"CCA1568","ZSWZ","ZBAA","1","332",1343,1343,1353,20140330,823,833,10,3,30,13,9,52,41,15,8,1
21806,"CCA1828","ZSWH","ZBAA","1","352",1325,1325,1340,20140330,805,820,15,3,30,12,9,52,41,14,8,1
21807,"CCA902","ZMUB","ZBAA","1","456",1347,1347,1352,20140330,827,832,5,3,30,13,12,52,41,12,8,1
21808,"UAL89","KEWR","ZBAA","1","525",1318,1317,1331,20140330,797,811,14,3,30,12,9,52,41,14,8,1
21809,"CHH7606","ZSSS","ZBAA","36L","A113",1332,1331,1336,20140330,811,816,5,3,30,13,9,52,41,15,8,1
21810,"CSN6187","ZUGY","ZBAA","36L","227",1335,1335,1342,20140330,815,822,7,3,30,13,9,52,41,15,8,1
21811,"ANA905","RJAA","ZBAA","36R","523",1317,1316,1340,20140330,796,820,24,3,30,12,9,52,41,14,8,1
21812,"CCA1836","ZSPD","ZBAA","1","334",1331,1330,1342,20140330,810,822,12,3,30,13,9,52,41,15,8,1
21813,"CCA1652","ZYTX","ZBAA","1","459",1334,1333,1339,20140330,813,819,6,3,30,13,9,52,41,15,8,1
21814,"CCA1818","ZSNJ","ZBAA","36R","328",1337,1336,1342,20140330,816,822,6,3,30,13,9,52,41,15,8,1
21815,"CSN6901","ZWWW","ZBAA","36L","223",1311,1310,1319,20140330,790,799,9,3,30,14,11,52,41,11,8,1
21816,"CSN318","RKSS","ZBAA","36L","209",1319,1318,1323,20140330,798,803,5,3,30,12,9,52,41,14,8,1
21817,"CSN6113","ZYAS","ZBAA","36R","229",1308,1320,1323,20140330,800,803,3,3,30,12,9,52,41,14,8,1
21818,"CCA1644","ZYHB","ZBAA","1","414",1322,1321,1326,20140330,801,806,5,3,30,12,9,52,41,14,8,1
21819,"CHH7794","ZSCN","ZBAA","36L","110",1324,1325,1329,20140330,805,809,4,3,30,12,9,52,41,14,8,1
21820,"ELY095","LLBG","ZBAA","36L","524",1307,1307,1329,20140330,787,809,22,3,30,14,11,52,41,11,8,1
21821,"CCA108","VHHH","ZBAA","36R","452",1329,1328,1334,20140330,808,814,6,3,30,12,9,52,41,14,8,1
21822,"CSN3101","ZGGG","ZBAA","36L","224",1313,1313,1319,20140330,793,799,6,3,30,14,11,52,41,11,8,1
