"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15","dep_taxi_per_window"
1,10,1,1,4,1,17
1,7,0,1,1,1,0
2,3,3,2,0,3,8.33333333333333
2,3,1,2,1,2,10
1,2,1,1,0,1,7
1,3,3,0,1,3,10.6666666666667
3,4,2,3,1,4,9.66666666666667
3,1,3,3,1,4,7
1,1,0,1,1,1,0
1,0,2,1,0,2,7.33333333333333
2,0,1,0,0,2,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,1,0,0
0,0,0,0,0,0,0
0,1,1,0,1,1,15
1,0,0,1,0,1,0
0,3,1,0,2,1,7
1,0,0,1,0,1,0
0,1,0,0,1,0,0
0,0,0,0,0,0,0
0,3,0,0,2,0,0
0,4,0,0,4,0,0
0,3,0,0,3,0,0
0,0,1,0,0,1,11
5,0,10,1,0,11,8.25
10,4,10,2,4,16,9.25
14,0,11,3,0,17,6.53846153846154
14,0,17,5,0,20,7.3125
11,0,9,1,0,15,8.77777777777778
12,2,21,2,1,25,11.5454545454545
18,1,22,6,1,35,11.4761904761905
18,3,11,8,0,28,11
17,3,17,6,0,27,9.6875
14,3,18,6,1,28,9.94736842105263
18,3,20,10,1,34,13
12,7,7,2,1,23,8.5
16,6,9,3,1,20,12
6,10,7,2,4,11,8.6
6,10,10,2,2,15,10.8
11,11,5,4,0,14,8.8
6,12,11,0,2,14,9.91666666666667
10,11,11,2,2,19,11.8
12,11,9,4,5,18,11.3636363636364
10,11,10,2,1,16,10.75
11,7,17,3,1,23,10.4736842105263
12,9,8,2,4,20,8.66666666666667
11,8,7,4,5,15,8.33333333333333
11,8,11,2,4,15,5.11111111111111
10,10,9,2,1,13,7.55555555555556
6,11,12,1,2,15,9.41666666666667
13,7,10,3,4,19,11.0909090909091
10,8,12,5,1,18,8.63636363636364
12,9,8,3,3,16,11.625
7,12,19,3,5,24,16.5
13,8,11,5,1,29,16.1
12,9,5,5,2,20,12.8
9,13,8,2,4,15,13.1111111111111
9,12,8,2,2,14,8.875
9,10,11,4,3,17,11.7
9,10,11,5,2,18,17.9090909090909
9,15,14,5,8,23,19.2666666666667
8,16,12,4,6,26,16.3333333333333
14,11,9,5,4,27,19.25
13,10,8,3,4,22,12.2222222222222
11,10,8,0,2,17,12.8571428571429
6,12,8,2,2,13,12.625
8,11,12,0,4,20,10.5833333333333
15,5,9,4,1,21,8.33333333333333
9,10,8,5,3,13,8.625
5,12,7,2,3,11,8
8,11,7,1,5,13,10
9,11,8,3,2,13,8.71428571428571
8,10,5,3,2,9,5.4
2,12,6,1,2,7,8.42857142857143
8,9,10,2,3,15,11.4444444444444
9,10,9,1,2,16,13
9,11,7,3,1,14,9.625
7,11,6,2,2,11,7
8,12,12,3,6,17,9.23076923076923
11,9,9,1,3,18,9.44444444444444
9,9,6,1,2,14,9.8
4,8,5,1,3,10,7.5
9,9,8,2,1,13,8.5
6,9,8,0,2,12,9.57142857142857
8,6,4,2,2,10,5.75
3,10,4,1,4,6,6.8
4,11,4,1,4,7,10.3333333333333
3,12,3,0,4,6,10
2,12,0,0,3,3,0
2,7,2,0,2,3,3.5
1,11,2,0,3,3,6.5
2,6,3,1,2,5,11.3333333333333
2,11,1,1,2,4,26
0,14,0,0,4,2,0
0,12,3,0,5,5,21.6666666666667
1,12,0,0,1,3,0
2,6,0,2,2,2,0
1,1,2,1,0,2,10
1,2,2,1,1,3,10
2,3,1,1,2,3,13
2,2,4,2,0,5,8.66666666666667
3,2,0,3,1,3,0
0,1,1,0,0,1,6
1,2,2,1,0,3,16
2,2,1,2,0,3,10
2,0,1,1,0,2,10
0,0,0,0,0,0,0
0,0,1,0,0,1,9
1,0,0,0,0,1,0
0,0,1,0,0,1,4
1,1,0,0,0,1,0
0,1,0,0,0,0,0
1,2,1,1,1,1,8
0,0,0,0,0,0,0
0,1,0,0,1,0,0
0,2,0,0,2,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,0,0,0,0,0
2,2,4,0,1,4,11
3,3,8,2,2,10,7.88888888888889
11,2,16,0,2,23,9.93333333333333
11,2,5,1,2,17,8.83333333333333
12,1,10,2,1,16,7.18181818181818
14,0,18,2,0,22,6.82352941176471
17,0,21,3,0,29,11.05
17,1,21,5,0,33,14.7826086956522
15,1,17,6,0,33,14.5625
20,3,12,6,0,30,10.1666666666667
15,3,20,4,1,30,13.2857142857143
17,4,20,6,0,35,18.4444444444444
13,5,6,2,1,24,14.5714285714286
11,10,10,8,2,21,11.4444444444444
12,5,7,5,0,17,12
7,11,9,1,1,14,17.5454545454545
7,10,9,1,5,16,16
9,12,11,3,0,20,12.9090909090909
11,10,12,2,2,23,13.9166666666667
14,10,10,2,3,22,14.5
9,11,11,4,1,19,15.5454545454545
