"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15"
1,10,1,1,4,1
1,7,0,1,1,1
2,3,3,2,0,3
2,3,1,2,1,2
1,2,1,1,0,1
1,3,3,0,1,3
3,4,2,3,1,4
3,1,3,3,1,4
1,1,0,1,1,1
1,0,2,1,0,2
2,0,1,0,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,1,0
0,0,0,0,0,0
0,1,1,0,1,1
1,0,0,1,0,1
0,3,1,0,2,1
1,0,0,1,0,1
0,1,0,0,1,0
0,0,0,0,0,0
0,3,0,0,2,0
0,4,0,0,4,0
0,3,0,0,3,0
0,0,1,0,0,1
5,0,10,1,0,11
10,4,10,2,4,16
14,0,11,3,0,17
14,0,17,5,0,20
11,0,9,1,0,15
12,2,21,2,1,25
18,1,22,6,1,35
18,3,11,8,0,28
17,3,17,6,0,27
14,3,18,6,1,28
18,3,20,10,1,34
12,7,7,2,1,23
16,6,9,3,1,20
6,10,7,2,4,11
6,10,10,2,2,15
11,11,5,4,0,14
6,12,11,0,2,14
10,11,11,2,2,19
12,11,9,4,5,18
10,11,10,2,1,16
11,7,17,3,1,23
12,9,8,2,4,20
11,8,7,4,5,15
11,8,11,2,4,15
10,10,9,2,1,13
6,11,12,1,2,15
13,7,10,3,4,19
10,8,12,5,1,18
12,9,8,3,3,16
7,12,19,3,5,24
13,8,11,5,1,29
12,9,5,5,2,20
9,13,8,2,4,15
9,12,8,2,2,14
9,10,11,4,3,17
9,10,11,5,2,18
9,15,14,5,8,23
8,16,12,4,6,26
14,11,9,5,4,27
13,10,8,3,4,22
11,10,8,0,2,17
6,12,8,2,2,13
8,11,12,0,4,20
15,5,9,4,1,21
9,10,8,5,3,13
5,12,7,2,3,11
8,11,7,1,5,13
9,11,8,3,2,13
8,10,5,3,2,9
2,12,6,1,2,7
8,9,10,2,3,15
9,10,9,1,2,16
9,11,7,3,1,14
7,11,6,2,2,11
8,12,12,3,6,17
11,9,9,1,3,18
9,9,6,1,2,14
4,8,5,1,3,10
9,9,8,2,1,13
6,9,8,0,2,12
8,6,4,2,2,10
3,10,4,1,4,6
4,11,4,1,4,7
3,12,3,0,4,6
2,12,0,0,3,3
2,7,2,0,2,3
1,11,2,0,3,3
2,6,3,1,2,5
2,11,1,1,2,4
0,14,0,0,4,2
0,12,3,0,5,5
1,12,0,0,1,3
2,6,0,2,2,2
1,1,2,1,0,2
1,2,2,1,1,3
2,3,1,1,2,3
2,2,4,2,0,5
3,2,0,3,1,3
0,1,1,0,0,1
1,2,2,1,0,3
2,2,1,2,0,3
2,0,1,1,0,2
0,0,0,0,0,0
0,0,1,0,0,1
1,0,0,0,0,1
0,0,1,0,0,1
1,1,0,0,0,1
0,1,0,0,0,0
1,2,1,1,1,1
0,0,0,0,0,0
0,1,0,0,1,0
0,2,0,0,2,0
0,1,0,0,1,0
0,1,0,0,1,0
0,0,0,0,0,0
2,2,4,0,1,4
3,3,8,2,2,10
11,2,16,0,2,23
11,2,5,1,2,17
12,1,10,2,1,16
14,0,18,2,0,22
17,0,21,3,0,29
17,1,21,5,0,33
15,1,17,6,0,33
20,3,12,6,0,30
15,3,20,4,1,30
17,4,20,6,0,35
13,5,6,2,1,24
11,10,10,8,2,21
12,5,7,5,0,17
7,11,9,1,1,14
7,10,9,1,5,16
9,12,11,3,0,20
11,10,12,2,2,23
14,10,10,2,3,22
9,11,11,4,1,19
