"","x01","x18l","x18r","x19","x36l","x36r","sum_dep","y01","y18l","y18r","y19","y36l","y36r","sum_arr","sum_per60","dep_prop_01","dep_prop_36l","dep_prop_36r","dep_prop_19","dep_prop_18r","dep_prop_18l","arr_prop_01","arr_prop_36l","arr_prop_36r","arr_prop_19","arr_prop_18r","arr_prop_18l"
"1",0,0,0,0,1,5,6,0,0,0,0,11,12,23,29,0,0.0344827586206897,0.172413793103448,0,0,0,0,0.379310344827586,0.413793103448276,0,0,0
"2",0,0,0,0,1,7,8,0,0,0,0,6,4,10,18,0,0.0555555555555556,0.388888888888889,0,0,0,0,0.333333333333333,0.222222222222222,0,0,0
"3",0,0,0,0,1,3,4,0,0,0,0,0,1,1,5,0,0.2,0.6,0,0,0,0,0,0.2,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"5",0,0,0,0,1,1,2,0,0,0,0,1,3,4,6,0,0.166666666666667,0.166666666666667,0,0,0,0,0.166666666666667,0.5,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0
"7",4,0,0,0,6,5,15,2,0,0,0,0,5,7,22,0.181818181818182,0.272727272727273,0.227272727272727,0,0,0,0.0909090909090909,0,0.227272727272727,0,0,0
"8",14,0,0,0,13,24,51,2,0,0,0,0,0,2,53,0.264150943396226,0.245283018867925,0.452830188679245,0,0,0,0.0377358490566038,0,0,0,0,0
"9",17,0,0,0,20,30,67,6,0,0,0,3,1,10,77,0.220779220779221,0.25974025974026,0.38961038961039,0,0,0,0.0779220779220779,0.038961038961039,0.012987012987013,0,0,0
"10",15,0,0,0,16,21,52,8,0,0,0,12,6,26,78,0.192307692307692,0.205128205128205,0.269230769230769,0,0,0,0.102564102564103,0.153846153846154,0.0769230769230769,0,0,0
"11",3,0,0,0,7,23,33,19,0,0,0,17,8,44,77,0.038961038961039,0.0909090909090909,0.298701298701299,0,0,0,0.246753246753247,0.220779220779221,0.103896103896104,0,0,0
"12",13,0,0,0,9,23,45,18,0,0,0,17,3,38,83,0.156626506024096,0.108433734939759,0.27710843373494,0,0,0,0.216867469879518,0.204819277108434,0.036144578313253,0,0,0
"13",8,0,0,0,9,21,38,17,0,0,0,12,8,37,75,0.106666666666667,0.12,0.28,0,0,0,0.226666666666667,0.16,0.106666666666667,0,0,0
"14",12,0,0,0,11,19,42,15,0,0,0,11,10,36,78,0.153846153846154,0.141025641025641,0.243589743589744,0,0,0,0.192307692307692,0.141025641025641,0.128205128205128,0,0,0
"15",18,0,0,0,9,18,45,16,0,0,0,14,12,42,87,0.206896551724138,0.103448275862069,0.206896551724138,0,0,0,0.183908045977011,0.160919540229885,0.137931034482759,0,0,0
"16",14,0,0,0,11,11,36,19,0,0,0,17,15,51,87,0.160919540229885,0.126436781609195,0.126436781609195,0,0,0,0.218390804597701,0.195402298850575,0.172413793103448,0,0,0
"17",13,0,0,0,7,25,45,17,0,0,0,18,8,43,88,0.147727272727273,0.0795454545454545,0.284090909090909,0,0,0,0.193181818181818,0.204545454545455,0.0909090909090909,0,0,0
"18",12,0,0,0,7,19,38,16,0,0,0,16,6,38,76,0.157894736842105,0.0921052631578947,0.25,0,0,0,0.210526315789474,0.210526315789474,0.0789473684210526,0,0,0
"19",6,0,0,0,3,18,27,24,0,0,0,18,2,44,71,0.0845070422535211,0.0422535211267606,0.253521126760563,0,0,0,0.338028169014085,0.253521126760563,0.028169014084507,0,0,0
"20",4,0,0,0,10,19,33,17,0,0,0,14,10,41,74,0.0540540540540541,0.135135135135135,0.256756756756757,0,0,0,0.22972972972973,0.189189189189189,0.135135135135135,0,0,0
"21",11,0,0,0,9,13,33,19,0,0,0,11,8,38,71,0.154929577464789,0.126760563380282,0.183098591549296,0,0,0,0.267605633802817,0.154929577464789,0.112676056338028,0,0,0
"22",1,0,0,0,8,17,26,15,0,0,0,11,8,34,60,0.0166666666666667,0.133333333333333,0.283333333333333,0,0,0,0.25,0.183333333333333,0.133333333333333,0,0,0
"23",2,0,0,0,3,6,11,20,0,0,0,14,8,42,53,0.0377358490566038,0.0566037735849057,0.113207547169811,0,0,0,0.377358490566038,0.264150943396226,0.150943396226415,0,0,0
"24",1,0,0,0,1,3,5,6,0,0,0,17,13,36,41,0.024390243902439,0.024390243902439,0.0731707317073171,0,0,0,0.146341463414634,0.414634146341463,0.317073170731707,0,0,0
"25",0,0,0,0,0,4,4,0,0,0,0,15,16,31,35,0,0,0.114285714285714,0,0,0,0,0.428571428571429,0.457142857142857,0,0,0
"26",0,0,0,0,0,8,8,0,0,0,0,5,4,9,17,0,0,0.470588235294118,0,0,0,0,0.294117647058824,0.235294117647059,0,0,0
