航班号,起飞机场,目的机场,rwy,ramp,pb_time,s_dep_time,a_dep_time,所走航路,mission_full_date,time_pushback,time_takeoff_real,mission_month,mission_date
AAL186,ZBAA,KORD,1,12,1008,1010,1020,YV8C,20140228,608,620,2,28
CPA347,ZBAA,VHHH,36R,12,955,1000,1020,REN8BR,20140228,595,620,2,28
CSN3192,ZBAA,ZGSZ,36L,20,1010,1000,1027,REN8AL,20140228,610,627,2,28
CHH7191,ZBAA,ZSAM,36R,18,937,935,1009,LAD8AR,20140228,577,609,2,28
CCA1367,ZBAA,ZGSZ,36R,5,936,930,1010,REN8BR,20140228,576,610,2,28
CCA111,ZBAA,VHHH,36R,9,929,930,954,REN8BR,20140228,569,594,2,28
CHH7765,ZBAA,ZYCC,36R,25,935,925,1000,YV8AR,20140228,575,600,2,28
CSN3000,ZBAA,ZGGG,36R,21,932,930,951,REN8BR,20140228,572,591,2,28
CCA162W,ZBAA,ZYHB,1,1,1013,1000,1026,YV8C,20140226,613,626,2,26
AAL186,ZBAA,KORD,1,12,1006,1010,1021,YV8C,20140226,606,621,2,26
CPA347,ZBAA,VHHH,36R,7,1001,1000,1016,REN8BR,20140226,601,616,2,26
CCA1367,ZBAA,ZGSZ,36R,9,946,930,1003,REN8BR,20140226,586,603,2,26
CHH7191,ZBAA,ZSAM,36R,27,941,935,1009,LAD8AR,20140226,581,609,2,26
CCA1415,ZBAA,ZUUU,36R,5,958,955,1007,SOS8BR,20140226,598,607,2,26
CSN6718,ZBAA,ZJSY,36L,18,930,900,1012,REN8AL,20140226,570,612,2,26
CCA1519,ZBAA,ZSSS,1,1,938,930,957,LAD8E,20140226,578,597,2,26
CSN6720,ZBAA,ZJHK,36L,13,912,905,957,REN8AL,20140226,552,597,2,26
CSN3156,ZBAA,ZGSZ,36L,21,901,900,945,REN8AL,20140226,541,585,2,26
CCA111,ZBAA,VHHH,36R,11,930,930,950,REN8BR,20140226,570,590,2,26
CSN3000,ZBAA,ZGGG,36R,21,928,930,945,REN8BR,20140226,568,585,2,26
CHH7765,ZBAA,ZYCC,36R,26,925,925,952,YV8AR,20140226,565,592,2,26
GIA891,ZBAA,WIII,36L,20,855,850,933,REN8AL,20140226,535,573,2,26
CSN3901,ZBAA,ZPPP,36R,13,926,910,935,SOS8BR,20140226,566,575,2,26
LOT092,ZBAA,EPWA,1,8,905,845,935,YV8C,20140226,545,575,2,26
CCA1321,ZBAA,ZGGG,36R,1,917,900,939,REN8BR,20140226,557,579,2,26
CES5104,ZBAA,ZSSS,36R,15,907,900,925,LAD8AR,20140226,547,565,2,26
MAS371,ZBAA,WMKK,36R,10,917,855,933,REN8BR,20140226,557,573,2,26
ANA956,ZBAA,RJAA,1,9,856,855,931,TON8B,20140226,536,571,2,26
CHH7605,ZBAA,ZSSS,36R,29,857,845,918,LAD8AR,20140226,537,558,2,26
SIA805,ZBAA,WSSS,36R,8,901,845,916,REN8BR,20140226,541,556,2,26
CCA123,ZBAA,RKSI,1,8,850,845,921,TON8B,20140226,530,561,2,26
CSN8490,ZBAA,VMMC,36L,29,851,900,925,REN8AL,20140226,531,565,2,26
CHH7805,ZBAA,ZGGG,36L,27,846,845,909,REN8AL,20140226,526,549,2,26
CCA185,ZBAA,RCTP,1,7,843,830,855,LAD8E,20140226,523,535,2,26
CSN3286,ZBAA,ZGNN,36L,15,833,810,900,REN8AL,20140226,513,540,2,26
CES5166,ZBAA,ZSSS,36R,15,842,830,859,LAD8AR,20140226,522,539,2,26
CSN6904,ZBAA,ZWWW,36L,21,842,840,855,SOS8AL,20140226,522,535,2,26
CHH7277,ZBAA,ZSHC,36R,15,848,835,901,LAD8AR,20140226,528,541,2,26
CHH7703,ZBAA,ZGSZ,36L,18,834,820,847,REN8AL,20140226,514,527,2,26
CCA1501,ZBAA,ZSSS,1,1,837,830,853,LAD8E,20140226,517,533,2,26
CSS6878,ZBAA,ZSPD,36R,18,809,425,852,LAD8AR,20140226,489,532,2,26
JAL860,ZBAA,RJAA,1,11,826,825,841,LAD8E,20140226,506,521,2,26
CHH7165,ZBAA,ZPPP,36L,26,833,830,842,SOS8AL,20140226,513,522,2,26
CCA1337,ZBAA,ZGSZ,1,6,828,830,845,REN8E,20140226,508,525,2,26
CHH7189,ZBAA,ZUGY,36L,23,821,810,828,SOS8AL,20140226,501,508,2,26
CHH7635,ZBAA,ZGHA,36L,26,821,815,830,REN8AL,20140226,501,510,2,26
CHH7607,ZBAA,ZSSS,36R,27,759,750,828,LAD8AR,20140226,479,508,2,26
CCA1361,ZBAA,ZJHK,36R,4,823,825,835,REN8BR,20140226,503,515,2,26
CHH7137,ZBAA,ZLXY,36L,18,803,755,815,SOS8AL,20140226,483,495,2,26
CES5102,ZBAA,ZSSS,36R,21,759,800,817,LAD8AR,20140226,479,497,2,26
CCA1351,ZBAA,ZGGG,1,4,807,805,816,REN8E,20140226,487,496,2,26
CHH7147,ZBAA,ZUUU,36L,27,812,805,819,SOS8AL,20140226,492,499,2,26
CCA1369,ZBAA,ZJSY,36R,1,750,745,820,REN8BR,20140226,470,500,2,26
CCA1405,ZBAA,ZUUU,36R,4,757,800,824,SOS8BR,20140226,477,504,2,26
CHH7191,ZBAA,ZSAM,36R,26,941,935,1000,LAD8AR,20140225,581,600,2,25
