"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,1,0
4,3,0,3,2,0
7,0,0,4,0,0
2,0,0,4,0,0
3,0,0,5,0,0
4,0,0,14,0,0
10,11,10,8,2,2
16,27,11,2,1,2
27,29,23,6,0,9
12,24,19,15,2,17
7,18,6,22,5,22
10,16,12,21,4,24
8,17,7,17,13,16
13,23,14,16,5,16
2,17,18,13,15,19
1,1,2,4,3,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,11,5,3,0,5
7,28,11,20,3,18
10,24,3,18,3,22
5,7,4,19,19,22
3,1,8,21,22,9
1,3,9,20,21,0
0,5,0,5,10,0
0,3,0,6,8,0
1,8,0,0,0,0
0,2,0,1,5,0
1,0,0,2,6,0
10,16,5,2,6,2
23,27,14,5,0,3
20,28,21,5,0,6
13,21,12,14,4,15
4,12,11,18,13,17
11,17,9,14,14,19
6,26,11,15,7,15
18,17,14,15,11,20
5,18,11,14,11,22
10,22,14,15,7,21
7,20,19,17,12,16
7,21,17,18,10,17
10,27,18,17,5,15
10,16,9,14,14,17
8,21,14,15,12,15
12,19,10,16,12,16
4,3,3,11,10,12
0,0,1,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,6,0,0,7,0
0,5,0,1,3,0
0,3,0,2,5,0
2,1,0,3,9,0
9,10,8,4,5,1
18,33,13,3,0,4
26,26,24,6,2,6
11,24,21,15,5,14
7,18,4,17,13,19
5,19,12,17,11,19
11,23,8,20,7,21
15,19,18,13,11,18
6,24,14,20,8,20
10,21,11,19,9,19
7,22,12,18,8,20
8,23,14,16,9,14
9,21,13,16,9,21
11,28,9,19,5,23
9,22,12,13,11,18
14,22,6,17,9,20
8,17,4,19,16,23
1,2,12,23,21,9
1,0,9,25,27,0
2,7,0,8,7,0
1,7,0,3,3,0
1,3,0,0,3,0
2,1,0,3,4,0
2,3,0,2,12,0
10,15,4,0,9,2
16,31,14,3,0,1
31,31,19,4,0,9
12,20,14,15,6,16
5,16,8,18,12,20
9,21,12,15,9,20
10,21,9,16,12,19
12,21,15,12,11,18
8,22,13,15,9,18
7,15,11,15,14,16
4,20,16,16,12,17
8,21,9,15,8,16
6,17,9,13,11,16
11,16,4,12,6,13
8,20,11,12,5,14
7,19,0,12,8,21
4,12,1,13,14,15
1,1,3,21,16,8
1,4,3,14,15,0
3,9,0,3,4,0
2,6,0,0,0,0
1,2,0,0,1,0
0,1,0,0,5,0
1,4,0,1,12,0
5,7,3,2,3,3
12,29,9,1,0,0
19,31,18,5,0,7
11,18,12,12,4,13
5,16,5,16,12,19
8,17,7,12,12,18
1,3,2,5,1,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,3,1,21,20,8
0,1,3,15,20,0
1,7,0,4,6,0
1,5,0,0,1,0
0,2,0,0,3,0
0,5,0,0,2,0
1,1,0,5,12,0
10,9,8,2,7,0
13,37,12,4,1,3
25,32,21,5,0,7
11,19,15,17,3,18
8,14,9,17,15,18
7,23,13,15,8,17
10,16,7,12,11,21
12,22,18,16,10,17
7,22,15,17,10,20
10,14,11,12,16,20
4,21,13,17,11,19
7,22,15,14,12,18
10,20,13,17,11,19
11,30,12,19,3,21
11,19,14,17,12,15
8,25,6,18,9,18
10,6,8,21,16,19
1,0,7,22,22,9
0,0,8,26,26,0
3,7,0,2,8,0
0,7,0,0,1,0
0,3,0,0,2,0
0,2,0,0,8,0
0,2,0,0,10,0
7,14,8,0,9,1
25,31,13,3,0,1
29,29,20,3,3,8
11,20,12,14,7,19
7,14,7,17,15,18
9,23,13,18,8,23
9,23,9,20,5,20
15,19,13,12,9,20
0,1,2,7,5,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6,12,6,9,0,8
13,25,12,19,5,22
9,20,6,21,10,21
9,21,2,22,13,23
2,2,5,22,14,9
0,2,6,25,23,0
2,7,0,5,12,0
0,6,0,0,3,0
0,2,0,0,3,0
0,2,0,0,9,0
0,3,0,0,6,0
7,16,8,0,10,1
16,30,11,5,1,2
28,33,22,5,2,10
13,28,17,18,1,15
5,23,9,17,10,19
6,18,8,20,13,22
11,26,12,19,6,19
16,17,14,15,12,16
8,26,15,19,3,20
8,24,9,21,2,23
8,28,10,21,1,24
5,27,11,22,0,22
8,28,11,15,2,19
9,23,11,23,7,17
8,28,11,19,3,18
11,22,6,19,9,24
9,19,2,22,11,22
0,3,6,19,23,8
1,2,9,25,22,0
2,9,0,7,12,0
0,7,0,0,2,0
0,6,0,0,1,0
0,0,0,0,9,0
0,6,0,0,9,0
8,14,8,1,10,3
22,34,14,4,0,1
23,29,18,4,0,10
13,21,14,19,0,19
4,24,5,21,3,23
10,20,11,25,3,24
8,23,12,25,0,21
12,25,13,20,2,22
7,25,10,21,0,24
8,22,12,24,3,22
3,27,14,22,2,21
9,24,14,21,4,21
13,28,10,23,1,22
10,24,10,23,0,20
11,26,11,15,2,23
10,25,4,21,4,20
7,16,2,24,4,26
1,6,3,19,20,9
1,1,5,26,22,0
2,7,0,6,9,0
0,8,0,0,3,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5,7,6,1,0,3
19,35,15,6,0,3
26,28,25,5,0,6
13,18,17,18,10,16
6,15,5,15,13,20
8,18,12,19,11,20
11,30,10,14,4,20
13,23,16,14,9,20
7,22,16,18,10,20
8,14,10,16,13,16
7,23,21,17,11,18
8,24,14,18,9,21
9,22,13,21,10,18
10,23,8,15,9,17
7,26,12,18,7,20
13,22,9,16,13,19
9,10,6,19,17,20
2,1,10,23,25,9
0,3,10,24,23,0
0,3,0,9,8,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13,22,15,3,0,2
27,34,19,3,1,7
18,17,16,15,8,17
7,19,9,18,13,20
8,19,10,18,12,21
9,23,10,17,8,22
13,21,19,17,8,20
5,22,15,17,9,17
12,15,11,12,12,20
3,28,13,23,3,22
8,27,10,20,6,19
8,25,12,15,8,19
9,22,7,17,10,17
12,20,12,16,8,14
12,21,2,15,8,22
7,13,5,18,15,24
0,3,4,18,19,4
1,2,6,23,25,0
5,9,0,4,9,0
2,6,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,2,0,2,2,0
8,10,6,5,6,1
22,30,13,3,0,0
29,26,21,3,0,10
11,23,16,14,8,16
6,20,7,15,13,22
10,24,10,19,10,22
7,22,9,21,0,19
12,31,11,19,2,24
3,20,5,16,0,19
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11,26,11,19,3,21
11,29,11,20,4,20
11,25,11,19,6,20
11,20,7,18,11,21
9,16,2,22,14,21
0,3,3,20,19,8
1,1,6,27,27,0
5,3,0,7,3,0
8,0,0,2,0,0
2,0,0,4,0,0
1,0,0,5,0,0
4,0,0,12,0,0
11,13,8,9,1,2
12,32,16,4,0,2
24,32,22,7,0,7
11,28,13,18,3,20
6,23,5,18,3,27
6,22,5,23,2,23
9,32,5,21,2,21
11,24,15,17,6,21
5,23,16,18,7,18
11,16,11,15,15,19
