"dep_count_mar_per60","arr_count_mar_per60","pb_count_mar_per60"
9,49,11
12,6,10
7,5,6
3,4,3
0,11,2
7,7,5
15,10,21
61,6,70
68,14,70
52,28,39
24,47,35
41,51,38
46,46,44
48,39,52
39,37,38
40,47,44
33,52,35
58,43,46
39,37,39
40,42,38
46,46,48
32,33,32
17,53,10
8,50,9
7,37,8
10,8,10
8,0,7
3,3,3
3,5,2
4,7,4
10,11,18
60,4,74
75,9,68
50,34,41
26,46,37
38,42,38
46,45,39
51,40,62
46,45,32
26,43,48
24,53,27
38,48,28
50,49,59
60,46,52
57,53,52
52,37,41
23,57,17
5,47,5
4,47,4
8,13,9
7,4,6
2,3,1
4,4,4
1,9,1
16,11,28
65,7,65
75,14,80
52,35,46
29,50,30
43,48,46
50,44,44
43,48,53
51,40,41
35,51,37
38,51,45
53,37,41
27,49,38
46,42,40
47,45,49
44,36,35
19,59,17
10,39,9
8,43,9
9,10,8
5,0,5
6,3,5
1,7,2
3,9,2
22,10,30
59,5,61
67,13,68
46,38,42
29,50,35
42,45,45
48,35,40
45,41,50
40,41,41
37,48,40
35,51,38
50,35,45
44,46,32
34,46,41
45,42,39
29,38,31
22,52,16
8,46,9
8,40,9
8,6,8
5,3,4
2,3,2
3,8,4
6,7,5
18,8,24
57,3,64
74,10,72
52,33,48
28,47,33
46,43,43
44,47,41
36,26,48
49,46,37
29,50,41
42,48,41
47,48,39
42,42,42
41,40,39
42,48,53
47,41,33
21,61,19
11,50,9
7,44,7
3,7,7
8,1,3
4,4,4
2,7,4
6,10,5
18,8,24
57,5,68
68,16,76
47,38,36
32,48,31
47,43,53
51,44,41
53,37,52
40,36,38
24,46,33
41,50,43
52,46,43
41,50,38
47,49,50
49,42,48
38,40,35
21,54,17
10,44,10
8,45,8
7,12,9
6,4,4
4,4,3
2,7,3
6,10,5
19,9,24
61,6,70
71,13,71
54,35,52
28,50,32
43,44,44
53,47,45
43,38,61
51,46,36
34,49,44
39,50,38
50,43,44
44,49,40
46,44,45
50,50,50
47,38,41
22,58,20
8,58,7
10,39,9
11,4,11
6,2,4
3,4,3
2,8,4
5,8,3
14,9,25
63,6,65
69,13,65
46,33,43
25,54,37
49,41,45
46,43,38
43,35,48
38,39,35
44,48,45
36,50,40
44,39,42
34,45,27
38,44,38
41,39,42
34,34,32
14,52,12
6,41,8
6,44,7
10,6,9
12,1,11
2,3,3
1,4,1
6,8,5
17,10,23
59,3,63
66,11,70
52,26,41
28,46,31
33,42,41
49,41,39
43,39,53
46,44,41
37,50,41
38,56,44
46,41,46
53,48,42
39,52,46
56,42,46
37,43,32
20,56,22
5,52,4
4,47,5
8,6,8
5,2,5
6,1,6
2,8,1
3,8,4
19,9,25
57,6,65
71,13,82
57,39,44
30,54,40
49,43,41
50,41,43
41,42,49
44,42,41
35,50,39
48,52,38
45,46,43
41,42,42
41,44,40
40,40,47
42,40,33
18,51,16
8,53,7
7,46,9
9,6,8
6,1,5
6,3,6
2,10,2
3,8,3
18,9,24
56,5,61
71,15,78
51,38,41
25,47,38
47,45,45
51,43,41
44,38,50
43,41,33
34,45,42
34,50,38
50,39,47
42,42,34
36,44,38
35,48,41
40,33,33
20,56,13
6,44,6
8,35,8
8,10,9
6,2,4
3,2,3
3,9,4
4,8,4
18,7,22
61,5,69
67,12,70
59,34,51
30,51,31
40,40,51
53,45,42
45,38,49
42,46,41
43,49,41
42,50,45
51,40,45
35,55,37
48,38,46
48,42,47
29,34,30
19,50,13
8,43,8
9,37,12
11,15,8
6,3,5
5,4,4
2,6,2
4,6,6
19,13,26
61,3,63
67,16,76
53,33,41
26,53,32
37,48,46
52,45,45
51,39,51
44,41,45
31,38,37
40,54,34
54,41,53
39,42,30
40,43,46
41,33,44
36,56,32
37,54,28
10,49,9
7,46,6
9,17,11
8,5,5
2,2,3
4,7,3
4,10,4
21,9,29
58,6,63
67,13,83
54,37,43
39,48,34
43,46,47
48,40,45
44,44,41
38,34,47
35,49,35
35,51,34
48,41,51
50,44,41
43,41,44
52,46,54
47,45,35
26,59,25
12,48,11
8,48,11
10,21,9
5,3,3
4,2,4
2,12,2
4,8,5
23,11,32
58,4,65
78,15,76
47,34,38
27,47,38
47,48,39
39,44,39
46,37,55
43,43,35
34,50,38
42,43,40
48,40,42
36,48,34
37,41,42
40,40,40
38,33,34
12,49,8
8,50,7
7,41,8
10,5,11
8,0,7
4,4,3
1,7,1
5,7,6
20,9,23
56,3,67
73,11,73
43,32,30
31,50,39
50,43,46
34,44,38
48,38,54
52,40,44
41,51,48
39,53,39
48,48,49
47,50,39
48,45,47
45,44,46
38,43,35
22,58,21
9,56,5
7,40,8
7,5,8
5,2,4
4,4,4
3,7,3
5,9,4
23,8,28
45,11,63
75,12,81
61,35,45
42,51,40
38,47,42
48,46,43
45,44,52
45,42,37
34,50,40
34,54,40
49,42,47
52,48,40
45,44,43
43,42,48
41,43,37
20,55,15
10,45,9
10,44,9
7,9,8
5,3,5
7,2,6
3,11,3
2,7,2
19,10,25
61,4,66
68,14,76
49,35,36
26,52,31
34,40,50
42,47,35
52,35,51
50,44,46
36,44,38
32,52,33
40,48,44
52,44,46
51,37,44
41,44,39
34,46,34
24,54,20
13,45,11
8,43,10
7,13,8
7,3,4
2,6,2
3,6,3
4,10,6
20,10,29
62,3,63
74,10,80
54,33,45
28,53,26
44,43,48
47,41,45
44,38,51
45,42,38
32,51,39
40,50,40
45,47,46
48,38,40
44,46,44
38,39,39
34,43,29
24,55,24
13,43,8
10,44,11
5,18,7
8,7,4
4,4,3
0,6,1
7,7,6
18,15,26
63,3,63
73,15,91
54,36,34
30,46,35
44,45,50
51,41,43
47,38,52
42,41,38
39,47,39
37,51,40
51,43,48
36,55,35
44,45,52
51,43,39
32,50,34
26,55,26
15,55,10
10,38,9
9,12,9
6,7,4
4,5,5
3,9,2
6,9,7
22,9,26
62,6,76
69,14,71
54,34,42
30,49,33
45,52,55
54,45,41
45,44,51
48,34,43
32,43,37
41,50,38
42,41,42
42,47,43
43,45,39
36,43,47
50,55,43
36,62,30
18,41,14
9,48,10
10,18,9
5,4,4
6,5,6
3,12,4
3,10,2
17,10,26
66,7,72
54,15,67
51,32,41
42,40,29
39,41,45
44,35,40
36,44,41
40,53,41
38,53,48
49,50,42
50,43,48
38,47,29
35,43,43
52,44,46
38,36,33
13,47,11
7,43,8
5,42,7
10,11,11
9,0,7
6,4,4
1,5,1
4,10,4
21,7,27
58,5,71
80,8,77
46,40,37
34,51,34
40,49,45
46,44,42
42,33,56
49,47,39
36,46,38
36,50,41
44,49,51
52,47,38
37,48,46
49,55,48
50,46,41
29,58,20
6,57,5
4,40,7
9,6,7
7,2,7
4,6,4
2,5,1
2,9,4
23,7,29
65,6,71
74,14,76
50,39,40
29,51,38
54,48,47
49,43,48
47,43,51
43,46,39
42,52,48
44,51,38
44,43,47
48,45,43
37,50,44
48,48,48
49,38,45
20,55,14
9,51,7
8,35,8
7,6,4
8,1,9
3,2,2
1,11,2
4,9,3
23,7,31
58,7,62
73,13,77
53,39,43
37,51,38
44,44,48
41,38,38
47,39,55
37,52,34
40,56,44
44,47,38
50,35,48
47,45,42
41,41,42
36,44,37
39,43,41
25,54,18
8,49,10
7,42,7
9,11,9
4,4,3
7,5,6
4,6,4
1,6,2
21,10,28
57,4,63
72,14,80
60,33,45
27,48,36
45,46,42
48,46,49
51,35,55
45,42,36
35,51,44
45,53,43
40,52,44
51,44,46
52,44,43
45,40,45
36,44,35
21,58,19
9,53,8
10,43,9
6,14,8
6,1,3
2,5,2
2,7,3
5,7,5
19,11,27
58,4,68
69,14,77
52,37,42
36,48,36
50,48,55
55,40,36
47,44,63
45,39,35
33,54,41
38,56,41
55,38,43
34,49,36
48,47,46
45,43,47
34,44,34
31,57,24
11,46,10
10,41,9
6,12,9
8,6,5
5,4,5
3,6,2
4,10,5
16,10,23
61,9,71
73,13,73
53,34,49
35,49,35
52,46,48
49,43,45
38,44,49
49,43,44
46,46,45
41,45,38
43,45,43
38,50,43
49,47,44
46,41,46
28,42,30
32,58,28
16,41,12
10,47,11
8,18,10
12,10,8
2,3,2
3,6,3
3,8,3
18,13,29
56,6,64
80,11,83
55,34,42
35,47,36
42,41,43
37,52,37
50,33,51
42,46,37
31,46,34
48,47,43
41,39,45
42,44,40
46,37,43
40,32,42
26,47,22
20,43,23
12,40,8
7,43,8
8,23,11
11,9,7
4,4,3
3,6,3
2,10,3
28,8,32
59,1,68
68,9,68
42,34,41
33,51,30
40,45,41
42,44,40
52,41,52
42,44,39
41,41,46
41,39,41
42,47,38
43,42,46
45,33,38
44,50,43
33,36,42
31,49,25
10,44,6
9,43,7
5,23,6
7,6,7
4,5,3
4,6,4
3,15,4
31,14,38
58,9,65
68,16,68
43,40,40
38,42,33
37,44,49
40,44,30
45,37,49
44,45,38
34,37,31
21,33,34
18,20,25
29,38,26
31,42,34
46,54,42
38,52,48
53,44,50
33,44,8
