"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
1,3,5,24,25,0
3,9,0,5,1,0
1,6,0,5,0,0
0,3,0,4,0,0
0,0,0,7,2,0
0,0,0,0,0,0
5,6,3,1,0,1
20,25,16,2,0,4
23,26,19,6,0,8
14,25,13,14,1,13
6,11,7,15,14,18
8,16,17,20,14,17
10,24,12,17,9,20
15,22,11,13,9,17
6,15,18,13,12,12
9,19,12,19,9,19
7,13,13,18,15,19
12,23,23,19,7,17
6,22,11,15,5,17
8,23,9,16,10,16
12,20,14,17,13,16
14,17,1,11,9,13
2,12,3,21,14,18
0,3,5,21,20,9
1,5,1,22,15,0
3,7,0,1,7,0
2,6,0,0,0,0
2,1,0,0,3,0
0,2,0,0,3,0
0,3,0,0,2,0
5,4,1,1,7,3
11,36,13,3,0,1
23,33,19,1,0,8
12,22,16,14,5,15
6,14,6,17,11,18
9,11,18,12,14,16
12,24,10,17,7,21
16,23,12,15,5,20
9,25,12,18,5,22
1,3,2,9,5,7
0,0,0,0,0,0
0,0,0,0,0,0
16,14,20,15,14,15
13,26,21,21,7,18
15,24,18,23,8,22
18,26,8,15,4,18
6,4,13,20,21,16
0,0,5,20,18,9
1,2,1,23,24,0
2,6,0,1,12,0
2,5,0,1,3,0
0,2,0,0,3,0
0,4,0,1,3,0
0,1,0,0,9,0
4,7,5,1,9,1
21,29,15,3,1,3
23,32,20,6,0,8
13,24,15,13,6,16
4,16,9,19,12,19
11,21,11,19,8,21
11,26,13,17,7,20
13,19,11,19,9,20
9,26,16,17,6,17
8,18,9,19,10,22
7,20,11,21,8,22
11,25,17,12,8,17
8,14,5,18,16,15
6,29,11,19,4,19
12,23,12,18,8,19
13,24,7,16,5,15
5,8,6,20,18,21
1,3,6,17,16,6
3,1,4,21,22,0
0,9,0,0,10,0
0,5,0,0,0,0
0,6,0,0,3,0
0,1,0,0,7,0
0,3,0,0,9,0
6,11,5,0,8,2
14,33,12,3,0,2
19,30,18,4,1,8
14,23,9,16,5,17
6,19,4,17,13,20
8,19,15,17,9,19
12,25,11,13,5,17
12,22,11,13,10,18
5,18,17,12,14,15
8,17,12,14,13,21
7,15,13,20,10,21
9,21,20,13,7,15
9,25,10,19,3,24
9,17,8,22,11,13
8,22,15,17,5,20
10,15,4,10,9,19
5,9,8,19,16,17
0,2,6,20,18,8
1,2,5,21,19,0
0,8,0,0,6,0
0,5,0,0,3,0
0,2,0,0,3,0
0,3,0,0,8,0
0,6,0,0,7,0
4,8,6,1,6,1
15,28,14,1,0,2
24,30,20,4,0,6
17,19,16,12,8,13
6,17,5,15,15,17
8,22,16,20,7,16
12,20,12,17,12,18
7,14,6,10,2,9
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,3,1,0,0,0
9,21,12,19,10,19
