"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
0,0,6,0,0,0
2,7,0,4,10,0
1,7,0,2,2,0
1,4,0,0,1,0
0,0,0,1,8,0
1,3,0,2,9,0
9,10,6,4,6,0
13,36,13,3,0,3
20,31,25,6,0,9
15,23,14,17,6,17
7,13,6,20,18,16
3,6,6,5,5,7
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,3,3,3,1,2
3,12,13,16,6,16
11,12,3,3,2,8
10,16,10,1,0,4
6,9,8,1,0,4
2,5,8,6,2,7
1,0,5,9,8,9
1,1,1,16,15,6
8,0,9,25,25,0
8,0,11,26,26,0
6,6,6,20,20,0
1,5,0,6,14,0
0,2,0,3,11,0
0,2,0,1,9,0
7,10,5,1,7,3
15,25,8,5,0,4
27,27,21,4,2,10
11,18,15,14,7,10
7,9,4,12,16,19
6,23,10,18,7,18
12,25,9,16,3,20
12,17,15,10,10,14
4,18,17,15,7,18
14,14,13,11,10,15
1,18,8,17,8,13
1,18,9,17,4,15
8,21,8,20,5,20
8,26,6,12,2,19
10,19,9,11,6,22
6,16,9,15,9,16
11,10,4,17,18,20
4,3,4,18,18,9
1,6,6,13,14,0
0,9,0,0,4,0
0,6,0,0,2,0
0,2,0,0,4,0
0,2,0,0,6,0
0,3,0,0,10,0
3,17,6,0,9,0
18,34,14,2,1,1
25,32,19,3,0,6
9,19,12,18,7,16
5,19,5,20,11,23
4,13,5,15,4,15
0,0,0,1,0,0
4,5,4,6,3,5
15,24,15,18,9,24
10,30,13,14,1,18
8,25,11,13,4,17
8,17,8,18,11,21
6,29,9,17,2,24
12,22,12,22,6,23
9,25,13,24,4,21
12,20,10,21,7,21
14,24,2,19,8,22
1,5,4,24,21,13
0,0,7,25,29,0
3,10,0,11,7,0
2,9,0,1,1,0
1,1,0,0,2,0
0,2,0,1,5,0
0,2,0,2,9,0
7,13,7,1,4,2
20,28,11,2,0,0
25,29,27,4,0,7
12,20,12,19,0,19
5,10,7,18,11,18
9,27,5,20,2,23
4,26,6,21,4,22
9,31,14,21,0,21
5,25,11,21,4,21
11,25,10,18,3,24
5,29,8,22,3,22
10,21,15,19,11,20
8,23,14,19,10,22
9,30,9,15,6,20
10,21,12,20,11,20
8,26,5,20,5,22
12,11,10,17,16,18
0,1,4,25,21,10
0,2,6,27,24,0
1,5,0,3,9,0
0,10,0,0,0,0
0,3,0,0,2,0
0,2,0,0,6,0
0,2,0,0,12,0
7,12,8,0,9,1
18,31,12,3,0,3
25,30,24,6,0,6
12,21,12,18,5,21
7,14,12,19,16,19
8,24,13,15,9,21
10,24,11,13,8,20
12,16,18,17,10,16
5,24,14,21,9,18
11,18,10,14,10,18
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5,17,6,10,1,11
12,21,15,18,11,17
9,18,10,18,12,17
7,10,5,23,13,21
2,1,11,20,21,7
1,8,3,19,22,0
1,9,0,4,8,0
1,7,0,0,2,0
0,4,0,0,1,0
0,0,0,0,10,0
0,3,0,0,10,0
7,15,5,1,9,1
13,34,15,4,0,3
26,27,21,5,1,8
16,18,17,14,12,14
7,12,8,17,14,20
7,18,13,19,11,17
9,17,13,19,9,17
12,21,13,14,9,18
5,21,16,17,8,19
11,21,10,15,7,17
6,17,13,17,11,18
10,34,12,18,3,20
12,23,8,11,9,18
7,23,8,16,9,17
11,14,6,6,5,9
6,12,2,5,1,4
4,11,6,11,4,17
2,2,5,20,14,8
1,9,5,20,19,0
1,9,0,22,21,0
5,12,0,14,16,0
1,4,0,7,8,0
2,1,0,0,13,0
0,6,0,0,6,0
5,12,6,0,12,1
18,30,16,3,3,1
29,24,19,3,1,7
14,21,13,14,8,16
5,13,10,18,12,18
8,18,14,20,11,20
12,19,14,19,13,16
12,20,15,13,7,15
4,18,19,20,13,15
12,16,12,16,12,14
4,23,13,20,5,19
10,22,17,18,7,17
7,27,13,21,5,22
9,27,9,16,4,17
6,24,14,17,5,18
10,23,3,16,6,20
6,11,1,19,12,23
0,4,8,24,18,10
1,4,8,22,26,0
3,3,0,3,7,0
2,7,0,1,0,0
0,3,0,0,3,0
1,0,0,0,8,0
1,4,0,0,9,0
10,14,8,1,10,1
20,32,16,3,1,2
25,24,19,6,0,9
12,24,10,19,1,20
7,19,6,21,2,19
9,23,7,25,2,24
7,19,8,20,12,16
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,5,0,0,4,0
2,9,0,2,8,0
1,4,0,0,2,0
0,0,0,0,9,0
0,2,0,0,14,0
8,19,6,6,5,2
13,35,14,5,0,3
23,34,20,4,0,9
9,17,17,15,12,14
6,18,8,18,10,20
9,18,13,18,12,19
10,26,10,15,8,19
12,23,14,13,8,19
5,17,17,13,14,19
10,21,14,17,9,17
7,12,13,14,7,15
0,0,0,0,0,0
0,0,0,0,0,0
4,7,5,3,3,6
9,34,12,24,0,23
9,19,6,17,10,21
7,12,6,21,15,24
5,1,11,24,20,7
1,0,12,22,23,0
2,10,0,7,16,0
0,6,0,0,3,0
0,5,0,0,8,0
0,1,0,0,10,0
0,4,0,0,14,0
6,14,6,0,8,0
20,34,13,3,1,0
27,27,24,4,0,11
15,13,8,13,12,15
5,19,8,21,13,23
10,23,13,15,7,19
10,19,9,16,10,21
11,18,18,13,6,15
5,20,15,14,11,18
10,13,10,14,11,21
4,22,11,19,8,18
8,23,9,17,5,18
8,22,14,17,6,18
11,22,9,15,6,13
9,22,13,14,7,16
10,22,5,15,10,16
7,9,1,15,16,19
1,5,5,18,19,9
3,0,7,17,23,0
3,8,0,6,8,0
3,6,0,0,2,0
2,2,0,2,4,0
0,3,0,0,7,0
0,4,0,1,9,0
7,10,6,0,7,2
18,31,13,2,2,0
26,28,16,4,1,8
13,21,11,16,8,15
7,21,4,21,3,22
5,25,9,20,0,22
11,20,7,20,1,23
9,20,14,16,0,22
6,27,15,18,0,19
9,20,6,17,2,22
5,21,11,22,1,24
7,24,12,18,5,24
10,21,13,17,5,24
13,32,6,15,2,18
10,23,15,17,2,19
8,18,4,18,9,21
9,17,2,22,12,21
0,4,8,21,22,7
3,3,5,22,25,0
5,3,0,10,5,0
9,0,0,14,0,0
7,0,0,4,0,0
2,0,0,10,0,0
3,0,0,14,0,0
6,12,7,2,7,2
16,35,12,3,0,3
26,32,19,8,0,9
12,22,15,12,7,18
5,19,7,20,11,18
8,18,12,16,14,21
2,7,5,6,3,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,3,3,1,0
0,0,0,0,0,0
0,4,0,6,4,0
8,0,0,4,0,0
5,0,0,3,0,0
1,0,0,13,0,0
5,0,0,9,0,0
8,9,8,6,0,2
20,35,12,3,0,2
16,28,19,9,0,8
19,21,13,15,9,19
5,14,10,19,12,21
9,21,14,16,9,17
10,22,10,19,13,21
15,22,16,14,8,17
1,21,19,15,9,17
12,17,11,14,13,14
6,21,18,17,9,20
5,16,14,18,10,19
10,25,14,19,5,16
13,23,13,15,8,16
8,14,15,18,13,14
7,14,13,18,14,12
10,8,10,15,17,20
3,1,6,19,22,10
0,6,9,21,19,0
3,7,0,11,8,0
7,0,0,3,0,0
5,0,0,3,0,0
5,0,0,10,0,0
1,0,0,10,0,0
10,8,8,11,0,2
19,31,12,3,0,1
21,31,23,6,0,7
17,21,16,14,10,14
8,14,7,17,14,19
10,20,13,14,13,21
8,23,7,20,1,23
16,16,15,12,9,18
3,28,18,18,4,17
8,18,15,17,10,19
8,22,13,21,7,18
9,21,11,16,10,17
9,22,14,17,10,22
10,24,13,18,6,19
10,15,12,7,16,17
12,17,13,6,18,23
9,15,6,17,17,22
2,10,2,20,16,6
1,1,10,19,24,0
3,5,0,11,16,0
1,4,0,3,4,0
1,4,0,1,2,0
2,0,0,0,6,0
1,3,0,1,9,0
12,12,5,1,11,0
17,29,11,6,0,1
26,27,19,10,0,11
14,20,19,17,4,14
7,25,6,21,8,23
9,18,12,16,7,24
9,29,8,22,3,25
3,3,0,7,4,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12,24,11,21,6,19
12,26,11,16,3,19
0,0,0,2,0,1
3,5,3,2,2,3
10,28,11,25,3,24
5,7,5,22,21,9
1,4,6,27,24,0
2,9,0,8,15,0
1,5,0,2,5,0
1,3,0,0,3,0
0,3,0,2,7,0
0,4,0,2,8,0
6,12,9,1,7,1
18,32,14,2,0,3
23,35,17,6,0,9
19,21,17,12,9,19
6,22,8,22,8,18
7,17,11,19,12,21
10,22,13,21,6,20
14,19,15,17,7,15
6,20,11,20,9,18
11,19,12,14,7,15
5,18,16,19,11,19
8,18,21,14,15,18
11,31,10,20,4,23
13,26,12,14,2,18
8,17,6,14,4,16
0,0,0,4,0,0
0,0,0,0,0,0
0,0,1,1,1,0
0,0,0,0,0,0
0,4,0,3,3,0
0,6,0,3,9,0
1,3,0,2,2,0
1,3,0,1,6,0
1,2,0,4,10,0
9,10,3,1,10,0
18,26,14,4,0,0
25,31,26,6,0,8
18,15,16,14,11,16
7,19,8,21,7,20
11,20,10,19,14,19
2,2,1,3,1,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8,15,14,12,10,15
6,22,11,18,4,15
2,33,0,20,0,18
6,28,7,21,3,21
12,10,9,17,15,17
0,4,2,21,18,4
1,1,7,20,20,0
3,13,0,10,11,0
3,8,0,3,8,0
0,4,0,1,6,0
1,2,0,1,5,0
0,3,0,0,9,0
8,12,9,2,8,1
19,29,13,3,0,3
23,29,23,5,0,6
13,19,12,16,10,14
8,15,9,18,12,20
7,22,11,18,10,17
8,16,9,17,11,22
11,20,18,16,8,16
6,24,14,18,8,19
3,0,0,5,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
8,11,4,10,7,11
9,4,7,22,21,9
0,0,6,15,25,0
4,1,8,22,22,0
2,7,0,8,10,0
1,2,0,1,9,0
1,4,0,0,4,0
1,3,0,3,13,0
7,8,8,1,7,1
22,28,12,3,0,4
27,32,25,7,0,8
13,22,11,20,5,18
7,22,10,18,7,22
8,20,12,15,11,22
9,25,8,17,2,26
10,30,12,19,3,21
7,29,11,17,5,24
10,24,11,22,2,22
5,20,10,21,4,22
6,28,11,18,4,18
6,23,5,21,9,22
9,24,17,18,5,15
9,26,11,16,4,17
10,20,5,17,7,18
9,14,3,24,14,21
1,6,14,23,17,9
0,6,12,23,22,0
6,2,0,6,6,0
5,0,0,5,0,0
3,0,0,4,0,0
0,0,0,6,0,0
