,dep_count_per15,arr_count_per15,pb_count_per15,heavy_dep_per15,heavy_arr_per15,dep_demand_per15,,,,,,
1,1,10,1,1,4,1,,,,,,
2,1,7,0,1,1,1,,,,,,
3,2,3,3,2,0,3,,,,,,
4,2,3,1,2,1,2,,,,,,
5,1,2,1,1,0,1,,,,,,
6,1,3,3,0,1,3,,,,,,
7,3,4,2,3,1,4,,,,,,
8,3,1,3,3,1,4,,,,,,
9,1,1,0,1,1,1,,,,,,
10,1,0,2,1,0,2,,,,,,
11,2,0,1,0,0,2,,,,,,
12,0,0,0,0,0,0,,,,,,
13,0,0,0,0,0,0,,,,,,
14,0,0,0,0,0,0,,,,,,
15,0,1,0,0,1,0,,,,,,
16,0,0,0,0,0,0,,,,,,
17,0,1,1,0,1,1,,,,,,
18,1,0,0,1,0,1,,,,,,
19,0,3,1,0,2,1,,,,,,
20,1,0,0,1,0,1,,,,,,
21,0,1,0,0,1,0,,,,,,
22,0,0,0,0,0,0,,,,,,
23,0,3,0,0,2,0,,,,,,
24,0,4,0,0,4,0,,,,,,
25,0,3,0,0,3,0,,,,,,
26,0,0,1,0,0,1,,,,,,
27,5,0,10,1,0,11,,,,,,
28,10,4,10,2,4,16,,,,,,
29,14,0,11,3,0,17,,,,,,
30,14,0,17,5,0,20,,,,,,
31,11,0,9,1,0,15,,,,,,
32,12,2,21,2,1,25,,,,,,
33,18,1,22,6,1,35,,,,,,
34,18,3,11,8,0,28,,,,,,
35,17,3,17,6,0,27,,,,,,
36,14,3,18,6,1,28,,,,,,
37,18,3,20,10,1,34,,,,,,
38,12,7,7,2,1,23,,,,,,
39,16,6,9,3,1,20,,,,,,
40,6,10,7,2,4,11,,,,,,
41,6,10,10,2,2,15,,,,,,
42,11,11,5,4,0,14,,,,,,
43,6,12,11,0,2,14,,,,,,
44,10,11,11,2,2,19,,,,,,
45,12,11,9,4,5,18,,,,,,
46,10,11,10,2,1,16,,,,,,
47,11,7,17,3,1,23,,,,,,
48,12,9,8,2,4,20,,,,,,
49,11,8,7,4,5,15,,,,,,
50,11,8,11,2,4,15,,,,,,
51,10,10,9,2,1,13,,,,,,
52,6,11,12,1,2,15,,,,,,
53,13,7,10,3,4,19,,,,,,
54,10,8,12,5,1,18,,,,,,
55,12,9,8,3,3,16,,,,,,
56,7,12,19,3,5,24,,,,,,
57,13,8,11,5,1,29,,,,,,
58,12,9,5,5,2,20,,,,,,
59,9,13,8,2,4,15,,,,,,
60,9,12,8,2,2,14,,,,,,
61,9,10,11,4,3,17,,,,,,
62,9,10,11,5,2,18,,,,,,
63,9,15,14,5,8,23,,,,,,
64,8,16,12,4,6,26,,,,,,
65,14,11,9,5,4,27,,,,,,
66,13,10,8,3,4,22,,,,,,
67,11,10,8,0,2,17,,,,,,
68,6,12,8,2,2,13,,,,,,
69,8,11,12,0,4,20,,,,,,
70,15,5,9,4,1,21,,,,,,
71,9,10,8,5,3,13,,,,,,
72,5,12,7,2,3,11,,,,,,
73,8,11,7,1,5,13,,,,,,
74,9,11,8,3,2,13,,,,,,
75,8,10,5,3,2,9,,,,,,
76,2,12,6,1,2,7,,,,,,
77,8,9,10,2,3,15,,,,,,
78,9,10,9,1,2,16,,,,,,
79,9,11,7,3,1,14,,,,,,
80,7,11,6,2,2,11,,,,,,
81,8,12,12,3,6,17,,,,,,
82,11,9,9,1,3,18,,,,,,
83,9,9,6,1,2,14,,,,,,
84,4,8,5,1,3,10,,,,,,
85,9,9,8,2,1,13,,,,,,
86,6,9,8,0,2,12,,,,,,
87,8,6,4,2,2,10,,,,,,
88,3,10,4,1,4,6,,,,,,
89,4,11,4,1,4,7,,,,,,
90,3,12,3,0,4,6,,,,,,
91,2,12,0,0,3,3,,,,,,
92,2,7,2,0,2,3,,,,,,
93,1,11,2,0,3,3,,,,,,
94,2,6,3,1,2,5,,,,,,
95,2,11,1,1,2,4,,,,,,
96,0,14,0,0,4,2,,,,,,
97,0,12,3,0,5,5,,,,,,
98,1,12,0,0,1,3,,,,,,
99,2,6,0,2,2,2,,,,,,
100,1,1,2,1,0,2,,,,,,
101,1,2,2,1,1,3,,,,,,
102,2,3,1,1,2,3,,,,,,
103,2,2,4,2,0,5,,,,,,
104,3,2,0,3,1,3,,,,,,
105,0,1,1,0,0,1,,,,,,
106,1,2,2,1,0,3,,,,,,
107,2,2,1,2,0,3,,,,,,
108,2,0,1,1,0,2,,,,,,
109,0,0,0,0,0,0,,,,,,
110,0,0,1,0,0,1,,,,,,
111,1,0,0,0,0,1,,,,,,
112,0,0,1,0,0,1,,,,,,
113,1,1,0,0,0,1,,,,,,
114,0,1,0,0,0,0,,,,,,
115,1,2,1,1,1,1,,,,,,
116,0,0,0,0,0,0,,,,,,
117,0,1,0,0,1,0,,,,,,
118,0,2,0,0,2,0,,,,,,
119,0,1,0,0,1,0,,,,,,
120,0,1,0,0,1,0,,,,,,
121,0,0,0,0,0,0,,,,,,
122,2,2,4,0,1,4,,,,,,
123,3,3,8,2,2,10,,,,,,
124,11,2,16,0,2,23,,,,,,
125,11,2,5,1,2,17,,,,,,
126,12,1,10,2,1,16,,,,,,
127,14,0,18,2,0,22,,,,,,
128,17,0,21,3,0,29,,,,,,
129,17,1,21,5,0,33,,,,,,
130,15,1,17,6,0,33,,,,,,
131,20,3,12,6,0,30,,,,,,
132,15,3,20,4,1,30,,,,,,
133,17,4,20,6,0,35,,,,,,
134,13,5,6,2,1,24,,,,,,
135,11,10,10,8,2,21,,,,,,
136,12,5,7,5,0,17,,,,,,
137,7,11,9,1,1,14,,,,,,
138,7,10,9,1,5,16,,,,,,
139,9,12,11,3,0,20,,,,,,
140,11,10,12,2,2,23,,,,,,
141,14,10,10,2,3,22,,,,,,
142,9,11,11,4,1,19,,,,,,
143,8,10,15,2,2,25,,,,,,
144,16,7,9,4,1,26,,,,,,
145,10,8,9,3,5,20,,,,,,
146,8,14,6,2,4,15,,,,,,
147,12,10,10,2,5,17,,,,,,
148,8,8,10,1,1,15,,,,,,
149,12,8,10,6,2,17,,,,,,
150,10,9,15,3,2,20,,,,,,
151,15,8,15,4,3,25,,,,,,
152,11,12,12,6,0,22,,,,,,
153,12,9,13,7,2,25,,,,,,
154,9,8,5,4,3,18,,,,,,
155,12,10,11,3,3,19,,,,,,
156,7,12,9,1,3,16,,,,,,
157,9,12,8,3,2,17,,,,,,
158,11,10,15,5,5,24,,,,,,
159,11,10,7,3,4,20,,,,,,
160,6,14,11,2,6,20,,,,,,
161,10,13,8,2,6,22,,,,,,
162,13,12,8,2,4,19,,,,,,
163,6,14,7,0,5,13,,,,,,
164,8,10,11,3,3,18,,,,,,
165,8,13,10,2,1,20,,,,,,
166,7,9,11,1,2,24,,,,,,
167,9,10,12,4,3,29,,,,,,
168,11,14,8,1,6,28,,,,,,
169,10,14,6,4,2,23,,,,,,
170,11,13,7,4,5,20,,,,,,
171,8,9,10,3,3,18,,,,,,
172,7,12,12,2,3,22,,,,,,
173,10,13,12,3,2,27,,,,,,
174,16,7,8,2,1,25,,,,,,
175,6,9,6,0,2,15,,,,,,
176,8,10,5,3,2,14,,,,,,
177,12,10,15,4,3,21,,,,,,
178,11,9,13,2,2,22,,,,,,
179,10,13,5,2,3,18,,,,,,
180,7,9,7,2,0,15,,,,,,
181,8,11,9,0,3,15,,,,,,
182,8,11,10,2,4,17,,,,,,
183,9,5,4,1,1,13,,,,,,
184,6,9,7,1,1,11,,,,,,
185,7,11,7,1,3,12,,,,,,
186,5,15,2,1,3,7,,,,,,
187,2,11,1,0,3,4,,,,,,
188,1,9,1,1,6,2,,,,,,
189,2,13,3,0,4,4,,,,,,
190,3,6,2,1,1,4,,,,,,
191,2,10,1,1,2,2,,,,,,
192,0,10,0,0,1,0,,,,,,
193,0,12,1,0,4,1,,,,,,
194,1,11,1,1,2,2,,,,,,
195,2,9,2,2,4,3,,,,,,
196,2,8,1,2,3,2,,,,,,
197,0,4,1,0,2,1,,,,,,
198,2,2,3,1,1,4,,,,,,
199,3,1,3,2,0,5,,,,,,
200,3,2,2,2,0,4,,,,,,
201,1,2,0,1,1,1,,,,,,
202,1,1,1,1,0,1,,,,,,
203,0,2,0,0,1,0,,,,,,
204,0,1,1,0,0,1,,,,,,
205,1,1,0,1,1,1,,,,,,
206,0,0,0,0,0,0,,,,,,
207,0,0,0,0,0,0,,,,,,
208,0,0,1,0,0,1,,,,,,
209,1,1,0,1,1,1,,,,,,
210,0,2,0,0,0,0,,,,,,
211,0,3,0,0,2,0,,,,,,
212,0,1,1,0,0,1,,,,,,
213,1,3,0,1,2,1,,,,,,
214,0,1,0,0,1,0,,,,,,
215,0,1,0,0,1,0,,,,,,
216,0,1,1,0,0,1,,,,,,
217,2,1,2,1,1,3,,,,,,
218,1,4,3,0,3,4,,,,,,
219,6,2,11,0,1,14,,,,,,
220,13,1,16,1,1,24,,,,,,
221,13,1,12,4,1,23,,,,,,
222,14,1,13,3,1,23,,,,,,
223,16,2,17,2,2,26,,,,,,
224,18,0,22,3,0,32,,,,,,
225,18,2,20,6,1,34,,,,,,
226,18,3,15,6,1,31,,,,,,
227,18,3,19,7,0,32,,,,,,
228,18,4,16,8,3,30,,,,,,
229,16,5,22,8,0,34,,,,,,
230,16,5,11,3,1,29,,,,,,
231,11,9,8,4,0,21,,,,,,
232,13,9,8,5,2,18,,,,,,
233,7,10,7,4,3,12,,,,,,
234,4,10,8,2,2,13,,,,,,
235,7,11,14,2,2,23,,,,,,
236,12,12,7,2,1,24,,,,,,
237,13,10,12,1,3,23,,,,,,
238,9,13,11,2,3,21,,,,,,
239,12,10,11,3,3,23,,,,,,
240,12,10,10,2,3,21,,,,,,
241,13,9,15,5,5,24,,,,,,
242,10,10,8,4,3,19,,,,,,
243,11,9,11,3,1,21,,,,,,
244,10,12,9,2,4,18,,,,,,
245,10,9,13,1,3,21,,,,,,
246,14,5,9,5,2,20,,,,,,
247,7,12,10,1,4,16,,,,,,
248,9,12,17,4,5,27,,,,,,
249,8,13,11,3,1,29,,,,,,
250,11,10,6,5,1,26,,,,,,
251,12,8,6,5,3,21,,,,,,
252,12,10,9,3,5,18,,,,,,
253,9,13,13,5,6,19,,,,,,
254,7,12,7,3,4,18,,,,,,
255,8,13,11,3,6,22,,,,,,
256,8,11,9,3,7,23,,,,,,
257,11,13,8,4,5,22,,,,,,
258,11,13,11,5,5,22,,,,,,
259,11,12,11,3,4,22,,,,,,
260,11,11,7,4,2,18,,,,,,
261,9,11,14,3,3,22,,,,,,
262,11,8,13,4,2,27,,,,,,
263,19,6,12,3,2,26,,,,,,
264,10,10,9,5,2,16,,,,,,
265,9,11,8,4,1,14,,,,,,
266,8,9,8,2,2,13,,,,,,
267,7,9,9,1,3,14,,,,,,
268,6,13,7,2,3,14,,,,,,
269,6,15,13,1,1,21,,,,,,
270,10,13,8,3,1,23,,,,,,
271,13,8,7,2,4,20,,,,,,
272,9,10,5,2,3,12,,,,,,
273,6,11,15,2,2,18,,,,,,
274,16,9,14,5,3,26,,,,,,
275,13,10,9,1,4,19,,,,,,
276,8,12,7,3,2,13,,,,,,
277,5,13,8,3,2,13,,,,,,
278,9,10,10,1,2,18,,,,,,
279,9,12,4,2,3,13,,,,,,
280,9,8,9,2,4,13,,,,,,
281,7,13,11,2,4,15,,,,,,
282,6,14,7,0,4,15,,,,,,
283,7,15,2,0,6,11,,,,,,
284,5,13,1,0,4,5,,,,,,
285,0,12,4,0,4,4,,,,,,
286,5,10,1,1,2,5,,,,,,
287,1,10,2,1,2,2,,,,,,
288,1,13,0,0,4,1,,,,,,
289,0,14,0,0,1,0,,,,,,
290,2,11,3,2,3,3,,,,,,
291,1,11,1,0,3,2,,,,,,
292,2,9,2,1,1,3,,,,,,
293,1,5,0,1,2,1,,,,,,
294,1,1,3,0,1,3,,,,,,
295,1,3,2,1,1,4,,,,,,
296,4,2,2,4,2,5,,,,,,
297,1,1,0,1,0,1,,,,,,
298,0,0,1,0,0,1,,,,,,
299,2,0,1,2,0,2,,,,,,
300,0,0,2,0,0,2,,,,,,
301,2,0,0,0,0,2,,,,,,
302,0,0,0,0,0,0,,,,,,
303,0,0,0,0,0,0,,,,,,
304,0,1,1,0,0,1,,,,,,
305,1,1,0,1,1,1,,,,,,
306,0,2,0,0,0,0,,,,,,
307,0,1,0,0,1,0,,,,,,
308,0,0,1,0,0,1,,,,,,
309,1,0,0,0,0,1,,,,,,
310,0,3,0,0,3,0,,,,,,
311,0,2,0,0,1,0,,,,,,
312,0,1,0,0,1,0,,,,,,
313,1,2,1,1,1,1,,,,,,
314,0,2,2,0,2,2,,,,,,
315,5,1,6,0,1,8,,,,,,
316,12,0,19,1,0,22,,,,,,
317,13,1,15,4,1,25,,,,,,
318,14,0,12,2,0,24,,,,,,
319,15,2,18,1,1,28,,,,,,
320,18,0,22,4,0,35,,,,,,
321,20,1,19,6,1,36,,,,,,
322,16,0,14,8,0,30,,,,,,
323,18,3,15,6,0,29,,,,,,
324,16,4,26,5,1,37,,,,,,
325,18,6,17,10,0,38,,,,,,
326,16,5,5,3,2,25,,,,,,
327,12,11,10,3,0,19,,,,,,
328,10,10,8,4,3,15,,,,,,
329,2,12,5,2,4,10,,,,,,
330,6,12,9,3,1,17,,,,,,
331,6,13,8,2,1,19,,,,,,
332,13,12,14,2,2,27,,,,,,
333,16,8,8,3,2,22,,,,,,
334,8,10,11,1,2,17,,,,,,
335,8,14,12,2,4,21,,,,,,
336,15,9,14,2,4,27,,,,,,
337,12,10,8,3,3,20,,,,,,
338,8,12,6,2,5,14,,,,,,
339,11,12,9,4,3,15,,,,,,
340,8,9,10,2,4,14,,,,,,
341,9,9,10,1,2,16,,,,,,
342,11,9,14,6,1,21,,,,,,
343,10,10,16,4,4,26,,,,,,
344,13,10,15,6,5,32,,,,,,
345,12,11,9,6,4,28,,,,,,
346,12,8,10,4,1,25,,,,,,
347,10,12,6,5,3,19,,,,,,
348,13,13,13,4,2,22,,,,,,
349,11,7,7,5,2,16,,,,,,
350,8,10,7,2,4,12,,,,,,
351,8,13,14,1,4,20,,,,,,
352,10,13,14,5,7,25,,,,,,
353,7,14,11,3,4,25,,,,,,
354,9,13,9,4,5,27,,,,,,
355,15,12,7,2,2,25,,,,,,
356,7,14,9,0,4,19,,,,,,
357,6,14,14,3,5,27,,,,,,
358,16,7,11,7,2,33,,,,,,
359,17,6,16,5,1,32,,,,,,
360,14,9,9,6,3,23,,,,,,
361,10,11,14,3,6,23,,,,,,
362,9,11,10,1,1,23,,,,,,
363,12,13,8,0,3,22,,,,,,
364,7,14,5,4,1,15,,,,,,
365,11,13,12,3,3,20,,,,,,
366,11,9,10,2,1,19,,,,,,
367,11,8,8,2,1,16,,,,,,
368,9,10,10,3,1,15,,,,,,
369,7,11,20,2,3,26,,,,,,
370,14,11,13,4,2,32,,,,,,
371,14,10,5,2,5,24,,,,,,
372,9,15,6,2,2,16,,,,,,
373,4,15,6,0,3,12,,,,,,
374,10,8,13,1,2,21,,,,,,
375,12,4,2,5,0,13,,,,,,
376,3,13,7,0,6,8,,,,,,
377,9,14,11,2,4,16,,,,,,
378,5,14,3,0,4,10,,,,,,
379,3,14,2,1,4,7,,,,,,
380,3,17,1,0,4,5,,,,,,
381,1,17,6,0,6,8,,,,,,
382,7,14,4,2,6,11,,,,,,
383,6,9,3,2,3,7,,,,,,
384,1,15,0,0,5,1,,,,,,
385,1,14,2,1,2,2,,,,,,
386,2,14,1,1,2,2,,,,,,
387,1,12,2,0,4,2,,,,,,
388,1,6,2,0,2,3,,,,,,
389,2,0,1,2,0,3,,,,,,
390,2,3,2,0,0,3,,,,,,
391,1,4,3,1,1,4,,,,,,
392,3,3,1,3,1,4,,,,,,
393,3,2,3,3,0,4,,,,,,
394,2,0,1,2,0,2,,,,,,
395,0,1,0,0,0,0,,,,,,
396,0,0,0,0,0,1,,,,,,
397,0,0,0,0,0,0,,,,,,
398,0,2,0,0,0,0,,,,,,
399,0,0,0,0,0,0,,,,,,
400,0,0,0,0,0,0,,,,,,
401,0,1,1,0,0,1,,,,,,
402,1,1,0,1,1,1,,,,,,
403,0,1,1,0,0,1,,,,,,
404,1,0,0,0,0,1,,,,,,
405,0,2,0,0,2,0,,,,,,
406,0,1,0,0,1,0,,,,,,
407,0,0,0,0,0,0,,,,,,
408,0,1,0,0,1,0,,,,,,
409,0,4,0,0,4,0,,,,,,
410,0,1,3,0,1,3,,,,,,
411,8,2,12,0,2,15,,,,,,
412,14,1,14,2,1,21,,,,,,
413,11,2,13,3,1,20,,,,,,
414,18,1,20,4,1,29,,,,,,
415,18,0,17,5,0,28,,,,,,
416,18,1,22,2,0,32,,,,,,
417,21,2,23,7,1,37,,,,,,
418,18,0,16,6,0,32,,,,,,
419,16,3,17,6,0,31,,,,,,
420,18,5,23,9,1,38,,,,,,
421,18,2,17,6,0,37,,,,,,
422,20,6,9,6,1,28,,,,,,
423,13,9,10,6,4,19,,,,,,
424,6,12,7,2,3,13,,,,,,
425,9,11,8,1,0,14,,,,,,
426,6,14,7,3,1,12,,,,,,
427,5,18,7,1,7,13,,,,,,
428,7,12,12,0,3,20,,,,,,
429,12,12,15,3,1,28,,,,,,
430,15,10,10,3,2,26,,,,,,
431,12,10,13,3,3,24,,,,,,
432,13,9,9,2,3,21,,,,,,
433,14,10,10,4,4,18,,,,,,
434,9,11,12,2,3,16,,,,,,
435,11,12,11,3,3,18,,,,,,
436,11,13,13,3,6,20,,,,,,
437,10,9,8,2,2,17,,,,,,
438,10,8,12,4,2,19,,,,,,
439,10,11,15,3,3,24,,,,,,
440,13,12,18,3,6,33,,,,,,
441,11,12,9,3,4,29,,,,,,
442,10,10,7,6,5,24,,,,,,
443,14,11,9,8,5,23,,,,,,
444,12,10,7,1,5,17,,,,,,
445,8,11,10,3,2,15,,,,,,
446,5,14,10,4,5,17,,,,,,
447,9,14,13,3,6,24,,,,,,
448,10,14,10,5,5,25,,,,,,
449,11,11,9,4,6,24,,,,,,
450,12,11,15,5,4,29,,,,,,
451,12,13,10,2,6,27,,,,,,
452,13,12,9,6,1,23,,,,,,
453,12,10,19,4,2,29,,,,,,
454,12,12,8,4,3,25,,,,,,
455,16,10,14,8,5,27,,,,,,
456,13,8,4,6,1,15,,,,,,
457,9,11,15,2,2,18,,,,,,
458,7,12,8,2,3,17,,,,,,
459,9,14,10,4,3,20,,,,,,
460,14,12,8,4,0,18,,,,,,
461,8,13,12,1,2,16,,,,,,
462,10,12,12,1,0,20,,,,,,
463,11,8,7,5,1,17,,,,,,
464,8,12,11,2,2,17,,,,,,
465,13,9,12,3,4,21,,,,,,
466,16,9,16,2,2,24,,,,,,
467,10,13,10,2,4,18,,,,,,
468,10,11,6,2,2,14,,,,,,
469,7,14,10,2,3,14,,,,,,
470,9,9,9,2,0,16,,,,,,
471,6,13,7,0,3,14,,,,,,
472,7,12,5,3,4,14,,,,,,
473,7,17,8,0,7,14,,,,,,
474,11,12,9,2,3,16,,,,,,
475,5,12,2,0,2,7,,,,,,
476,5,10,3,1,6,6,,,,,,
477,0,17,0,0,7,1,,,,,,
478,2,11,5,1,2,5,,,,,,
479,3,9,2,1,2,5,,,,,,
480,2,11,0,1,3,2,,,,,,
481,0,14,2,0,4,2,,,,,,
482,1,13,0,1,4,2,,,,,,
483,1,13,1,1,0,2,,,,,,
484,1,9,3,1,1,4,,,,,,
485,5,6,2,3,2,5,,,,,,
486,1,4,4,1,3,4,,,,,,
487,4,1,3,1,0,6,,,,,,
488,2,3,1,2,0,3,,,,,,
489,2,3,1,1,0,2,,,,,,
490,0,3,2,0,0,2,,,,,,
491,2,2,2,1,0,4,,,,,,
492,2,0,1,2,0,3,,,,,,
493,1,1,0,0,0,1,,,,,,
494,0,0,0,0,0,0,,,,,,
495,0,1,0,0,0,0,,,,,,
496,0,2,0,0,1,0,,,,,,
497,0,0,0,0,0,0,,,,,,
498,0,1,0,0,0,0,,,,,,
499,0,1,0,0,0,0,,,,,,
500,0,2,0,0,2,0,,,,,,
501,0,3,0,0,3,0,,,,,,
502,0,1,0,0,0,0,,,,,,
503,0,1,1,0,0,1,,,,,,
504,1,3,0,0,3,1,,,,,,
505,0,3,0,0,3,0,,,,,,
506,1,1,3,0,1,3,,,,,,
507,7,2,10,0,2,12,,,,,,
508,13,0,18,2,0,23,,,,,,
509,16,3,14,3,3,24,,,,,,
