X,航班号,起飞机场,目的机场,rwy,ramp,pb_time,s_dep_time,a_dep_time,所走航路,mission_full_date,time_pushback,time_takeoff_schedule,time_takeoff_real,dep_taxi,dep_delay,mission_month,mission_date,mission_hour,dep_15_per_dep,arr_15_per_dep,dep_60_per_dep,arr_60_per_dep,pb_15_per_dep,pb_60_per_dep,heavy_dep_15_per_dep,heavy_arr_15_per_dep
1,GDC7129,ZBAA,ZYHB,36R,25,949,945,1017,YV8AR,20140228,589,585,617,28,32,2,0,9,9,13,32,50,5,29,3,2
2,AAL186,ZBAA,KORD,1,12,1008,1010,1020,YV8C,20140228,608,610,620,12,10,2,0,10,9,13,32,50,5,29,3,2
3,CES5106,ZBAA,ZSSS,36R,22,1012,955,1018,LAD8AR,20140228,612,595,618,6,23,2,0,9,9,13,32,50,5,29,3,2
4,CPA347,ZBAA,VHHH,36R,12,955,1000,1020,REN8BR,20140228,595,600,620,25,20,2,0,10,9,13,32,50,5,29,3,2
5,CBJ286,ZBAA,ZWWW,36L,27,1007,1000,1023,SOS8AL,20140228,607,600,623,16,23,2,0,10,9,13,32,50,5,29,3,2
6,CES525,ZBAA,ZSQD,36R,18,1005,1000,1024,TON8AR,20140228,605,600,624,19,24,2,0,10,9,13,32,50,5,29,3,2
7,CSN6144,ZBAA,ZYCC,36R,22,1015,1020,1027,YV8AR,20140228,615,620,627,12,7,2,0,10,9,13,32,50,5,29,3,2
8,CSN3192,ZBAA,ZGSZ,36L,20,1010,1000,1027,REN8AL,20140228,610,600,627,17,27,2,0,10,9,13,32,50,5,29,3,2
9,CHH7191,ZBAA,ZSAM,36R,18,937,935,1009,LAD8AR,20140228,577,575,609,32,34,2,0,9,9,11,32,50,6,29,3,2
10,CCA1255,ZBAA,ZSOF,36R,3,949,840,1013,LAD8AR,20140228,589,520,613,24,93,2,0,8,9,11,32,50,6,29,3,2
11,CXA8160,ZBAA,ZSZS,36R,22,941,855,1012,TON8AR,20140228,581,535,612,31,77,2,0,8,9,11,32,50,6,29,3,2
12,CCA1367,ZBAA,ZGSZ,36R,5,936,930,1010,REN8BR,20140228,576,570,610,34,40,2,0,9,9,11,32,50,6,29,3,2
