"dep_count_apr_per60","arr_count_apr_per60","pb_count_apr_per60"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,2
7,5,6
7,4,7
2,4,2
3,5,5
4,14,3
31,12,40
54,5,65
79,15,75
55,34,44
31,49,35
38,49,43
32,46,33
50,37,48
37,47,35
44,40,49
44,42,37
42,43,44
47,43,44
43,30,39
46,41,48
37,43,32
16,60,16
12,52,10
13,41,12
5,15,5
3,14,4
9,0,7
2,6,2
1,8,3
31,10,38
64,8,75
69,11,65
46,33,38
27,48,29
37,47,43
43,37,38
49,46,50
34,47,40
46,43,48
46,45,47
45,45,36
55,37,48
35,45,37
43,42,41
41,44,42
12,47,20
19,49,7
11,45,8
7,24,9
6,7,5
5,4,4
3,7,3
3,12,3
27,10,38
64,7,72
76,14,77
56,34,43
29,49,32
36,47,40
42,48,36
52,42,58
44,48,38
42,47,47
41,46,43
45,39,40
43,46,51
48,47,41
43,42,48
42,46,37
29,58,25
19,53,15
10,53,12
9,15,9
8,6,6
4,3,5
3,7,2
5,14,6
29,11,38
61,4,71
81,13,69
46,37,42
29,50,32
42,44,44
40,47,42
48,41,45
43,42,42
33,45,41
40,45,37
38,39,31
32,40,30
31,31,32
39,31,40
26,41,23
17,42,16
5,48,4
8,29,8
12,7,12
8,0,7
3,1,3
1,5,1
5,13,5
15,8,22
50,1,56
68,12,64
41,29,35
26,47,27
32,42,36
38,37,38
49,36,50
36,42,36
40,36,39
37,42,34
34,38,36
33,46,28
37,37,39
42,43,44
34,32,31
19,40,18
5,49,4
4,35,4
8,10,9
6,1,6
2,3,1
5,2,4
2,17,5
27,9,32
62,8,71
78,12,73
45,38,39
31,50,32
43,40,43
33,44,35
52,43,53
44,47,40
35,48,39
38,47,45
44,44,35
43,47,51
53,43,42
44,44,48
39,45,35
24,56,23
8,53,5
8,52,9
10,10,8
7,1,8
3,2,2
2,8,1
2,10,2
29,10,39
69,4,78
78,14,65
43,40,47
28,50,31
