"dep_count_feb_per60","arr_count_feb_per60","pb_count_feb_per60"
6,23,5
8,10,9
4,1,3
0,1,0
2,4,2
0,8,0
15,7,21
51,2,58
67,10,68
52,26,43
33,44,37
45,38,44
38,37,39
42,36,49
43,42,32
35,51,48
44,43,33
37,38,36
27,44,26
33,41,32
32,38,32
26,34,24
11,42,9
5,42,6
4,31,5
8,9,7
5,5,5
1,0,2
2,4,1
0,5,0
16,7,28
54,3,54
67,8,70
53,24,43
34,43,41
47,38,45
38,40,35
48,37,52
40,39,38
37,46,41
37,49,34
35,46,41
36,48,35
40,39,31
40,41,40
31,36,30
15,46,11
7,39,6
5,40,5
8,9,9
2,6,2
1,1,1
1,7,1
1,6,1
22,8,32
61,4,64
72,12,70
56,28,49
30,43,36
46,43,44
44,40,43
40,38,49
43,41,32
32,49,40
44,49,37
49,35,48
30,42,32
38,46,33
43,42,45
32,43,31
25,55,21
7,45,7
5,45,6
7,11,7
3,1,4
2,1,1
1,4,1
1,6,0
18,5,28
60,3,67
70,8,74
56,32,40
27,49,36
47,41,45
39,43,33
43,38,55
47,44,38
37,43,42
38,53,36
53,36,50
38,49,37
42,40,40
44,47,44
29,40,28
20,59,17
15,55,13
5,46,7
8,10,7
5,3,4
0,2,0
2,3,2
0,4,0
22,8,29
65,4,72
73,10,79
57,29,43
27,55,34
52,41,47
45,46,46
43,40,53
47,43,32
32,53,43
48,47,43
53,40,45
39,49,41
37,45,42
49,42,44
29,48,31
28,51,22
7,48,7
3,49,6
12,14,10
6,8,6
1,4,0
0,4,0
1,8,1
21,6,31
62,4,66
76,9,84
52,32,40
28,53,39
42,49,39
57,41,47
44,40,51
43,44,42
42,40,42
43,47,37
44,47,46
38,53,35
44,44,46
55,40,51
28,46,26
24,49,24
14,50,11
8,55,7
9,22,8
6,10,5
2,1,3
1,6,0
3,7,3
17,8,26
44,6,59
46,9,60
42,32,44
38,37,35
41,42,36
31,41,40
46,36,51
57,34,53
60,43,40
45,46,41
51,41,39
38,49,39
49,47,47
41,35,49
32,43,28
21,52,17
3,43,1
12,51,10
22,41,22
15,20,15
8,7,5
1,7,2
2,6,2
3,8,20
36,4,63
53,13,55
57,27,48
50,50,47
69,38,56
54,37,46
50,40,46
45,38,44
32,52,44
44,49,41
39,49,48
46,49,34
40,55,46
52,41,58
55,37,36
25,55,22
13,44,13
6,54,8
9,36,9
15,7,13
2,4,0
0,3,0
1,8,1
22,9,30
60,6,69
71,11,73
56,32,46
27,42,38
39,43,30
47,39,48
48,44,55
48,40,38
38,51,39
45,52,41
46,45,46
36,55,39
39,53,42
55,40,55
38,39,31
27,56,24
10,56,10
9,47,9
7,16,11
8,11,5
2,8,1
4,4,4
2,10,3
27,9,38
62,6,70
74,13,77
50,30,46
35,49,33
32,58,38
54,42,48
56,39,54
48,41,36
32,45,46
45,52,42
49,45,44
38,49,45
50,39,37
45,42,52
33,39,29
22,61,16
11,53,11
7,46,8
9,20,12
8,2,5
3,2,3
1,8,0
2,7,3
22,13,28
58,7,73
71,12,75
58,30,41
30,53,37
45,45,37
39,44,42
46,38,53
43,44,39
42,45,46
40,54,41
54,43,46
44,44,39
42,43,44
51,40,46
27,45,28
22,56,19
11,54,10
12,52,12
8,11,8
5,5,4
2,1,3
4,9,3
3,4,3
22,11,31
64,5,74
75,14,75
58,33,46
32,48,36
44,45,43
46,40,40
46,41,55
44,44,39
35,49,40
39,51,42
47,42,45
47,52,41
41,39,41
51,43,49
29,45,28
23,53,20
11,50,10
7,44,8
7,12,7
8,5,6
3,5,3
3,5,3
2,6,2
11,14,29
71,5,67
73,17,77
54,32,42
29,49,41
46,49,44
47,46,44
54,36,54
39,43,32
36,52,46
45,48,38
46,36,41
32,53,36
47,45,42
45,39,45
32,43,35
20,56,17
11,55,9
10,41,8
6,11,8
10,6,8
3,2,3
4,6,6
5,8,3
10,10,17
