"dep_count_may_per60","arr_count_may_per60","pb_count_may_per60"
6,0,6
9,14,10
8,4,8
5,1,4
0,9,1
4,11,3
25,10,34
62,6,81
76,15,65
52,40,44
26,54,30
38,41,44
45,43,35
54,39,53
37,47,40
41,39,44
34,40,29
28,38,28
26,13,33
36,5,33
23,5,15
15,15,15
6,26,2
3,37,2
17,50,17
19,52,19
18,40,18
6,20,3
2,14,2
2,10,3
22,11,28
48,9,60
75,16,64
44,31,38
20,47,32
39,43,38
46,39,40
44,34,47
39,40,36
41,36,37
27,38,38
28,36,26
37,45,34
40,33,35
38,39,38
31,40,32
25,55,24
11,45,10
13,27,11
9,4,10
6,2,5
2,4,2
2,6,2
3,10,3
26,9,36
66,4,72
76,9,65
40,41,41
29,54,36
27,35,34
44,45,36
28,37,36
54,51,54
53,33,48
44,34,43
33,50,36
44,43,47
46,51,44
47,49,49
42,49,40
40,49,26
10,58,8
7,54,8
13,18,14
11,2,8
2,2,2
2,6,2
2,11,3
27,7,33
59,2,72
81,11,74
44,38,36
22,47,37
41,45,37
36,47,36
54,42,55
41,46,42
46,45,45
42,47,40
46,50,41
45,51,50
48,41,37
43,51,44
39,47,40
33,51,27
5,56,6
8,51,7
6,12,7
10,0,9
3,2,2
2,6,2
2,12,3
27,10,35
61,6,72
79,12,74
45,44,42
33,54,38
45,45,45
45,41,36
46,43,48
43,48,45
39,42,42
34,45,44
47,44,38
44,40,40
42,43,37
48,46,45
37,47,38
22,57,22
14,48,11
12,41,11
10,12,9
8,2,8
4,1,3
0,10,0
3,10,6
27,11,34
62,7,80
74,14,66
51,40,36
27,51,30
38,47,46
39,45,33
46,41,45
42,44,40
42,39,48
36,46,43
56,41,42
43,38,45
38,42,38
31,20,39
20,14,15
21,32,19
9,43,3
15,39,21
10,43,12
17,30,10
5,15,3
3,13,5
6,6,4
23,13,33
64,7,71
72,11,67
48,38,39
28,48,36
40,51,44
45,48,41
47,35,45
41,48,39
40,42,49
40,44,45
49,42,42
47,48,42
45,37,42
44,40,41
36,42,35
18,54,20
12,52,9
13,48,14
6,10,7
9,1,7
3,3,3
1,8,2
5,9,6
32,12,40
68,6,73
68,15,63
46,40,42
32,42,33
39,51,44
34,48,30
45,34,57
51,39,45
44,44,39
34,47,40
41,43,38
44,42,45
55,41,47
37,41,38
37,44,42
30,42,27
14,49,6
12,50,11
8,30,9
11,10,9
5,2,5
0,9,1
2,14,5
33,13,37
62,8,76
77,13,69
43,41,42
32,48,34
40,49,46
46,42,33
49,40,52
39,46,39
45,43,45
36,36,40
36,41,36
42,51,46
42,35,37
55,47,48
34,48,38
25,60,20
17,51,13
13,45,13
12,23,10
6,3,5
5,8,4
1,10,3
4,14,3
26,8,36
67,4,75
78,15,66
36,40,39
32,57,39
46,41,41
38,47,37
47,34,41
40,43,44
33,46,40
37,45,32
40,40,39
44,41,40
42,34,41
44,37,45
37,41,34
17,50,14
11,48,15
10,40,12
11,14,10
9,2,8
4,6,4
3,7,2
4,10,5
23,9,29
62,4,69
70,13,68
45,39,40
32,46,32
39,42,45
38,44,32
43,38,45
48,37,47
35,41,35
37,47,39
43,47,41
44,46,50
51,35,43
48,38,46
30,48,34
28,55,23
12,50,10
13,47,13
8,15,8
9,14,8
7,4,7
2,10,4
3,14,2
25,11,29
63,6,78
77,17,76
49,37,40
31,49,28
38,51,44
38,39,40
45,42,45
43,46,44
44,43,43
37,43,39
38,43,40
49,46,44
39,47,38
50,41,54
42,40,40
29,46,16
11,56,10
12,53,12
6,25,7
8,4,7
5,3,4
1,13,2
5,9,5
25,8,36
67,5,69
63,17,70
53,43,43
29,52,35
44,42,41
42,53,37
53,39,57
41,41,36
40,41,44
45,46,42
35,47,41
49,40,45
49,39,43
37,45,42
34,44,32
28,52,25
12,51,8
15,40,14
10,19,9
7,3,10
5,3,3
5,10,4
1,10,4
26,13,30
62,4,76
75,13,74
54,38,41
29,50,32
43,48,47
38,44,39
47,39,55
49,39,40
41,46,38
43,46,42
41,43,42
45,49,47
47,43,38
37,40,51
42,47,33
30,56,26
14,45,11
12,43,14
8,27,6
5,7,6
5,3,3
2,6,4
4,10,3
29,12,37
57,7,74
72,21,67
53,35,46
38,52,35
39,47,37
46,50,46
29,37,45
52,45,45
48,41,43
39,46,39
37,45,34
47,46,50
49,38,39
35,43,41
31,44,48
49,52,29
17,52,12
17,51,18
11,23,8
6,8,5
4,3,5
3,9,2
4,10,4
27,9,37
64,5,75
75,15,76
57,40,43
36,48,38
35,52,39
45,47,42
48,39,50
37,47,33
42,36,48
39,49,41
47,47,48
52,47,53
51,34,35
32,34,43
37,48,42
38,57,26
21,56,17
9,47,9
9,34,10
6,12,6
4,4,4
4,7,4
3,14,4
22,11,28
58,4,79
82,14,71
49,41,43
34,48,34
41,52,42
38,38,39
51,37,42
