"dep_count_mar_per15","arr_count_mar_per15","pb_count_mar_per15"
1,14,1
2,13,3
2,13,3
4,9,4
5,2,2
0,3,2
4,1,2
3,0,4
3,3,3
2,2,1
1,0,2
1,0,0
0,0,3
3,0,0
0,1,0
0,3,0
0,1,0
0,2,0
0,5,0
0,3,2
3,1,1
0,0,1
2,2,2
2,4,1
0,2,1
0,2,1
1,3,6
14,3,13
14,3,18
15,1,14
14,1,15
18,1,23
17,1,14
17,5,17
18,3,18
16,5,21
19,4,15
13,6,10
12,9,7
8,9,7
6,9,7
6,12,7
6,14,8
6,12,13
11,13,11
11,11,4
8,15,14
11,12,9
13,13,11
9,13,9
10,11,11
14,9,13
15,10,14
15,7,13
10,10,10
8,12,15
9,8,12
11,8,8
9,12,7
10,9,11
11,14,9
7,10,7
14,10,13
8,13,15
6,16,9
12,12,10
4,11,10
11,13,6
14,10,15
14,11,12
18,8,12
12,14,7
12,5,11
9,13,8
12,6,12
6,13,8
8,15,13
15,11,9
8,7,7
9,9,9
6,11,12
13,13,15
14,13,14
13,9,7
10,6,6
7,9,15
7,7,3
8,11,8
8,11,4
4,13,5
4,15,0
1,14,1
1,14,3
2,14,3
4,10,2
1,12,1
1,10,3
2,13,0
1,7,1
3,7,4
2,5,0
3,1,4
3,2,4
2,0,2
4,0,2
0,0,0
2,0,4
2,0,1
2,0,1
0,1,0
1,1,1
0,1,1
2,0,1
0,2,0
1,1,1
0,2,0
0,0,0
1,3,1
1,2,2
2,2,1
0,3,1
1,4,1
3,3,4
6,1,12
17,0,13
13,0,17
13,2,22
17,2,22
19,1,16
19,1,18
19,3,17
18,4,17
19,6,21
14,9,5
9,11,8
8,8,7
8,8,5
5,12,10
4,15,8
9,11,14
14,7,8
5,13,9
8,10,12
11,12,9
12,10,15
14,12,9
10,11,7
10,12,8
12,11,15
14,8,16
15,9,15
10,12,16
12,12,9
10,11,5
13,11,9
11,11,9
6,13,8
4,8,16
8,9,10
8,13,14
3,12,11
9,13,5
4,14,4
8,14,7
8,14,5
11,12,13
13,11,6
6,11,4
14,7,14
12,15,23
15,13,15
9,14,7
12,14,15
14,10,15
18,11,12
16,11,10
8,16,11
17,14,17
15,12,20
17,11,4
13,12,11
16,10,13
16,4,10
7,11,7
8,9,8
6,17,4
6,16,4
3,15,1
2,14,2
1,13,2
2,10,0
0,10,1
1,13,0
0,12,1
1,11,1
2,11,2
2,5,3
3,4,1
0,3,2
3,1,3
3,1,2
1,2,1
1,0,0
2,1,3
1,2,1
1,0,0
0,0,0
0,1,0
0,1,0
0,0,1
1,3,3
3,0,0
0,3,0
0,4,1
0,1,0
1,1,0
1,3,3
1,4,0
4,2,10
10,2,15
16,2,13
16,0,18
15,3,16
18,2,18
18,0,23
17,5,20
21,3,20
19,6,17
20,3,19
11,8,9
13,12,12
8,12,6
8,9,5
6,13,7
9,14,9
6,14,9
10,10,14
11,12,9
12,13,14
10,13,9
11,11,13
17,10,9
12,11,13
10,12,9
12,12,12
11,9,14
9,14,13
11,13,14
11,11,12
12,11,11
13,10,6
15,8,12
11,12,8
8,13,11
8,12,8
8,14,10
7,15,12
9,12,11
10,13,11
12,11,11
11,13,11
12,9,11
18,6,12
12,9,7
5,14,10
6,13,9
8,9,11
8,13,8
9,15,9
17,9,15
15,8,7
5,10,9
10,12,13
11,10,17
12,11,10
14,12,9
14,11,12
11,5,13
15,10,4
4,10,6
4,17,9
7,14,4
6,14,2
2,14,2
3,11,2
2,9,2
4,10,4
1,9,1
2,11,2
2,12,2
1,11,2
3,9,3
2,1,0
0,4,4
3,4,3
4,1,1
1,0,0
0,0,1
1,0,2
3,0,2
2,0,2
1,0,3
3,1,0
0,2,0
0,0,0
0,2,0
0,3,1
1,2,1
1,1,0
0,1,1
1,5,1
1,2,0
0,3,1
1,3,4
4,2,8
17,2,17
13,2,12
13,1,15
16,0,19
17,2,15
16,2,18
15,2,17
18,5,17
18,4,16
14,10,18
13,5,7
10,12,8
9,11,9
9,8,6
5,14,9
8,16,8
7,12,12
16,11,8
9,10,12
10,12,11
7,12,14
15,11,11
14,7,7
11,9,11
8,8,11
13,10,14
12,9,13
11,10,15
9,12,8
13,7,11
8,11,5
9,13,9
10,10,16
9,12,5
12,13,10
6,12,12
10,11,13
8,11,8
8,15,9
10,12,12
9,13,9
9,11,13
12,8,11
17,6,9
12,10,12
13,13,16
8,13,6
15,9,5
8,11,5
